H Yields: sn1a Gronow 2021 core detonation
H Prepared by: Thomas Trueman (January, 2022)
&Isotopes  &Z=1.4e-04 &Z=0.0014  &Z=0.042  
&He-4      &5.50e-03  &5.50e-03  &3.60e-03 
&C-12      &1.24e-03  &1.24e-03  &1.20e-03 
&C-13      &1.12e-09  &1.04e-09  &1.19e-08 
&N-14      &1.37e-07  &1.29e-07  &5.12e-07 
&N-15      &1.12e-09  &1.12e-09  &1.27e-09 
&O-16      &4.85e-02  &4.84e-02  &4.93e-02 
&O-17      &3.01e-08  &2.87e-08  &8.03e-08 
&O-18      &8.35e-10  &7.95e-10  &2.83e-09 
&F-19      &2.58e-11  &2.47e-11  &1.52e-10 
&Ne-20     &1.83e-03  &1.83e-03  &1.64e-03 
&Ne-21     &1.34e-07  &1.27e-07  &1.03e-06 
&Ne-22     &3.28e-07  &3.08e-07  &8.38e-06 
&Na-23     &1.04e-05  &1.03e-05  &2.59e-05 
&Mg-24     &3.71e-03  &3.80e-03  &1.61e-03 
&Mg-25     &1.52e-05  &1.48e-05  &7.31e-05 
&Mg-26     &2.64e-05  &2.57e-05  &1.25e-04 
&Al-27     &1.40e-04  &1.40e-04  &1.76e-04 
&Si-28     &1.51e-01  &1.51e-01  &1.50e-01 
&Si-29     &2.48e-04  &2.46e-04  &7.82e-04 
&Si-30     &3.42e-04  &3.38e-04  &1.76e-03 
&P-31      &1.83e-04  &1.81e-04  &5.04e-04 
&S-32      &9.38e-02  &9.38e-02  &7.98e-02 
&S-33      &1.45e-04  &1.43e-04  &2.93e-04 
&S-34      &8.86e-04  &8.66e-04  &4.20e-03 
&S-36      &1.92e-08  &1.91e-08  &1.65e-06 
&Cl-35     &5.36e-05  &5.23e-05  &1.42e-04 
&Cl-37     &1.32e-05  &1.29e-05  &2.70e-05 
&Ar-36     &1.84e-02  &1.84e-02  &1.39e-02 
&Ar-38     &4.18e-04  &4.06e-04  &1.99e-03 
&Ar-40     &1.97e-09  &2.38e-09  &1.47e-07 
&K-39      &3.56e-05  &3.49e-05  &8.11e-05 
&K-41      &2.52e-06  &2.48e-06  &4.60e-06 
&Ca-40     &1.77e-02  &1.77e-02  &1.30e-02 
&Ca-42     &1.07e-05  &1.03e-05  &4.77e-05 
&Ca-43     &3.56e-07  &3.57e-07  &2.65e-07 
&Ca-44     &2.01e-05  &2.02e-05  &1.27e-05 
&Ca-46     &4.74e-11  &3.95e-10  &7.98e-08 
&Ca-48     &1.82e-12  &1.66e-11  &5.89e-09 
&Sc-45     &1.37e-07  &1.36e-07  &3.22e-07 
&Ti-46     &4.27e-06  &4.14e-06  &1.67e-05 
&Ti-47     &7.36e-07  &7.33e-07  &1.12e-06 
&Ti-48     &4.03e-04  &4.04e-04  &2.86e-04 
&Ti-49     &2.07e-05  &2.06e-05  &3.12e-05 
&Ti-50     &1.73e-10  &6.26e-10  &1.83e-07 
&V-50      &1.19e-09  &1.52e-09  &5.25e-08 
&V-51      &5.14e-05  &5.09e-05  &1.08e-04 
&Cr-50     &1.08e-04  &1.06e-04  &5.40e-04 
&Cr-52     &8.74e-03  &8.76e-03  &6.87e-03 
&Cr-53     &6.09e-04  &6.05e-04  &1.07e-03 
&Cr-54     &1.27e-08  &1.42e-08  &6.21e-07 
&Mn-55     &3.07e-03  &3.04e-03  &6.94e-03 
&Fe-54     &1.24e-02  &1.22e-02  &5.44e-02 
&Fe-56     &6.10e-01  &6.11e-01  &5.33e-01 
&Fe-57     &1.11e-02  &1.10e-02  &1.87e-02 
&Fe-58     &7.07e-09  &3.25e-08  &1.59e-06 
&Co-59     &3.88e-04  &3.85e-04  &6.88e-04 
&Ni-58     &1.08e-02  &1.06e-02  &5.49e-02 
&Ni-60     &8.97e-03  &9.00e-03  &5.24e-03 
&Ni-61     &2.91e-04  &2.90e-04  &3.25e-04 
&Ni-62     &1.69e-03  &1.67e-03  &4.85e-03 
&Ni-64     &3.80e-09  &3.69e-08  &2.61e-06 
&Cu-63     &6.63e-07  &7.67e-07  &5.94e-06 
&Zn-64     &2.91e-05  &2.95e-05  &1.06e-05 
&Zn-66     &3.25e-05  &3.25e-05  &6.99e-05 
&Zn-67     &1.92e-08  &2.73e-08  &4.57e-07 
&Zn-68     &9.11e-09  &2.89e-08  &7.86e-07 
&Zn-70     &3.01e-11  &2.91e-10  &1.69e-08 
&Ga-69     &1.49e-09  &1.45e-08  &1.35e-07 
&Ga-71     &2.50e-10  &2.40e-09  &4.95e-08 
