H Yields: 1aSNe (James Keegans)
H Prepared by: Thomas Trueman (October, 2021)
&Isotopes  &Z=0.1     &Z=0.05    &Z=0.02    &Z=0.014   &Z=0.01    &Z=0.005   &Z=0.002   &Z=0.001   &Z=0.0001  &Z=1e-05   &Z=1e-06   &Z=1e-07   &Z=1e-30  
&O-18      &1.46e-07  &3.79e-08  &1.22e-08  &8.37e-09  &5.93e-09  &2.94e-09  &1.13e-09  &4.94e-10  &3.23e-11  &1.92e-11  &1.83e-11  &1.82e-11  &1.82e-11 
&F-19      &8.28e-09  &5.03e-09  &1.78e-09  &1.18e-09  &8.1e-10   &4.22e-10  &3.53e-10  &5.07e-10  &1.77e-09  &2.49e-09  &2.61e-09  &2.63e-09  &2.63e-09 
&Ne-20     &0.0041    &0.0048    &0.0055    &0.0058    &0.0059    &0.0061    &0.0063    &0.0063    &0.0064    &0.0064    &0.0064    &0.0064    &0.0064   
&Ne-21     &0.0001    &3.53e-05  &1e-05     &6.38e-06  &4.21e-06  &1.78e-06  &5.46e-07  &2.18e-07  &4.39e-08  &3.7e-08   &3.64e-08  &3.63e-08  &3.63e-08 
&Ne-22     &0.0008    &0.0002    &9.24e-05  &6.02e-05  &4.06e-05  &1.86e-05  &6.9e-06   &3.36e-06  &3.8e-07   &9.91e-08  &7.13e-08  &6.86e-08  &6.82e-08 
&Na-23     &0.0004    &0.0001    &5.35e-05  &4.11e-05  &3.39e-05  &2.69e-05  &2.47e-05  &2.46e-05  &2.66e-05  &2.71e-05  &2.72e-05  &2.72e-05  &2.72e-05 
&Mg-24     &0.0075    &0.0079    &0.0143    &0.0179    &0.0215    &0.0282    &0.0342    &0.0364    &0.0378    &0.0378    &0.0378    &0.0378    &0.0378   
&Mg-25     &0.0025    &0.0007    &0.0001    &0.0001    &7.65e-05  &3.3e-05   &1.26e-05  &6.98e-06  &6.8e-07   &5.28e-07  &5.17e-07  &5.16e-07  &5.16e-07 
&Mg-26     &0.0015    &0.0003    &0.0001    &8.02e-05  &5.73e-05  &3.06e-05  &1.49e-05  &9.35e-06  &3.97e-06  &3.51e-06  &3.47e-06  &3.47e-06  &3.47e-06 
&Al-27     &0.0024    &0.0016    &0.0013    &0.0012    &0.0011    &0.0008    &0.0004    &0.0002    &0.0001    &0.0001    &0.0001    &0.0001    &0.0001   
&Si-28     &0.305     &0.316     &0.321     &0.321     &0.321     &0.319     &0.314     &0.311     &0.305     &0.304     &0.304     &0.304     &0.304    
&Si-29     &0.0135    &0.0035    &0.0012    &0.0009    &0.0007    &0.0005    &0.0003    &0.0002    &7.48e-05  &6.11e-05  &6.05e-05  &6.04e-05  &6.04e-05 
&Si-30     &0.0198    &0.0084    &0.003     &0.002     &0.0013    &0.0005    &0.0001    &4.34e-05  &2.24e-05  &2.84e-05  &2.94e-05  &2.96e-05  &2.96e-05 
&P-31      &0.0016    &0.0014    &0.0007    &0.0005    &0.0004    &0.0002    &0.0001    &6e-05     &5.93e-05  &8.57e-05  &8.88e-05  &8.91e-05  &8.92e-05 
&S-32      &0.0952    &0.128     &0.146     &0.148     &0.15      &0.151     &0.152     &0.153     &0.155     &0.156     &0.156     &0.156     &0.156    
&S-33      &0.0005    &0.0005    &0.0004    &0.0003    &0.0002    &0.0002    &0.0001    &0.0001    &0.0001    &9.47e-05  &9.4e-05   &9.39e-05  &9.39e-05 
&S-34      &0.0146    &0.0093    &0.0035    &0.0023    &0.0016    &0.0007    &0.0002    &7.79e-05  &2.54e-06  &4.07e-06  &4.3e-06   &4.32e-06  &4.32e-06 
&S-36      &3.53e-05  &3.87e-06  &2.14e-07  &8.58e-08  &3.97e-08  &8.64e-09  &1e-09     &1.5e-10   &6.2e-14   &3.91e-14  &3.76e-14  &3.74e-14  &3.74e-14 
&Cl-35     &0.0002    &0.0002    &0.0001    &0.0001    &8.64e-05  &4.52e-05  &2.14e-05  &1.27e-05  &6.19e-06  &9.71e-06  &1.02e-05  &1.02e-05  &1.03e-05 
&Cl-37     &5.73e-05  &4.81e-05  &3.02e-05  &2.46e-05  &2.02e-05  &1.37e-05  &8.99e-06  &7.39e-06  &6.51e-06  &5.98e-06  &5.92e-06  &5.92e-06  &5.91e-06 
&Ar-36     &0.0114    &0.0172    &0.0227    &0.024     &0.0249    &0.0263    &0.0277    &0.0285    &0.0299    &0.0302    &0.0302    &0.0302    &0.0302   
&Ar-38     &0.0069    &0.0042    &0.0016    &0.001     &0.0006    &0.0002    &9.57e-05  &3.69e-05  &2.84e-07  &3.87e-07  &3.96e-07  &3.97e-07  &3.98e-07 
&Ar-40     &3.21e-07  &5.99e-08  &2.72e-09  &8.83e-10  &3.47e-10  &6.81e-11  &9.21e-12  &1.65e-12  &9.46e-16  &6.46e-16  &6.23e-16  &6.21e-16  &6.21e-16 
&K-39      &0.0001    &0.0001    &0.0001    &7.76e-05  &5.97e-05  &3.47e-05  &1.73e-05  &1e-05     &1.03e-06  &1.27e-06  &1.33e-06  &1.33e-06  &1.33e-06 
&K-40      &4.28e-08  &1.11e-07  &4.48e-08  &2.29e-08  &1.2e-08   &3.64e-09  &1.13e-09  &5.19e-10  &2.3e-12   &1.58e-12  &1.54e-12  &1.53e-12  &1.53e-12 
&K-41      &7.34e-06  &8.41e-06  &5.82e-06  &4.75e-06  &3.88e-06  &2.57e-06  &1.58e-06  &1.18e-06  &5.68e-07  &3.93e-07  &3.75e-07  &3.73e-07  &3.73e-07 
&Ca-40     &0.0075    &0.0119    &0.0169    &0.0183    &0.0195    &0.0215    &0.0236    &0.0248    &0.0267    &0.027     &0.027     &0.0271    &0.0271   
&Ca-42     &0.0001    &0.0001    &4.21e-05  &2.66e-05  &1.7e-05   &6.65e-06  &1.89e-06  &6.64e-07  &6.84e-10  &4.33e-09  &4.7e-09   &4.73e-09  &4.74e-09 
&Ca-43     &2.35e-07  &1.75e-07  &7.44e-08  &4.52e-08  &2.68e-08  &8.61e-09  &1.98e-09  &7.06e-10  &1.66e-10  &1.94e-08  &2.33e-08  &2.37e-08  &2.37e-08 
&Ca-44     &3.14e-06  &4.71e-06  &6.75e-06  &7.42e-06  &8.01e-06  &9.08e-06  &1.03e-05  &1.1e-05   &1.22e-05  &1.24e-05  &1.24e-05  &1.24e-05  &1.24e-05 
&Ca-46     &2.55e-09  &4.47e-10  &1.82e-11  &4.3e-12   &1.15e-12  &9e-14     &2.97e-15  &1.81e-16  &9.64e-21  &2.75e-21  &2.43e-21  &2.4e-21   &2.39e-21 
&Ca-48     &2.31e-11  &2.32e-13  &5.08e-16  &5.25e-17  &7.61e-18  &2.08e-19  &1.97e-21  &3.55e-23  &3.06e-26  &8.82e-27  &5.3e-27   &4.94e-27  &4.9e-27  
&Sc-45     &2.06e-07  &2.49e-07  &2.18e-07  &1.89e-07  &1.66e-07  &1.27e-07  &9.39e-08  &7.72e-08  &4.86e-08  &2.53e-08  &2.26e-08  &2.23e-08  &2.23e-08 
&Ti-46     &6.26e-05  &4.83e-05  &1.98e-05  &1.29e-05  &8.31e-06  &3.18e-06  &8.22e-07  &2.77e-07  &3.55e-09  &1.66e-09  &1.61e-09  &1.6e-09   &1.59e-09 
&Ti-47     &2.05e-06  &1.12e-06  &4.1e-07   &2.67e-07  &1.77e-07  &7.99e-08  &3.34e-08  &1.86e-08  &4.36e-09  &1.81e-08  &1.96e-08  &1.98e-08  &1.98e-08 
&Ti-48     &4.86e-05  &7.7e-05   &0.0001    &0.0001    &0.0001    &0.0001    &0.0002    &0.0002    &0.0002    &0.0002    &0.0002    &0.0002    &0.0002   
&Ti-49     &1.22e-05  &1.25e-05  &1.29e-05  &1.21e-05  &1.11e-05  &8.91e-06  &6.75e-06  &5.8e-06   &4.25e-06  &5.44e-07  &4.32e-07  &4.22e-07  &4.21e-07 
&Ti-50     &1.17e-08  &2.92e-09  &1.17e-09  &6.11e-10  &2.53e-10  &2.48e-11  &7.78e-13  &4.4e-14   &3.64e-19  &1.14e-19  &1e-19     &9.9e-20   &9.89e-20 
&V-50      &5.06e-08  &1.02e-08  &4.92e-09  &3.27e-09  &1.67e-09  &2.5e-10   &1.85e-11  &2.96e-12  &4.39e-16  &1.15e-16  &1.04e-16  &1.03e-16  &1.03e-16 
&V-51      &0.0001    &5.65e-05  &3.88e-05  &3.26e-05  &2.72e-05  &1.82e-05  &1.02e-05  &6.29e-06  &4.98e-07  &2.89e-06  &2.93e-06  &2.93e-06  &2.93e-06 
&Cr-50     &0.0014    &0.0008    &0.0002    &0.0001    &0.0001    &5.29e-05  &1.77e-05  &7.46e-06  &3.17e-07  &2.3e-07   &2.02e-07  &1.99e-07  &1.99e-07 
&Cr-52     &0.0036    &0.0015    &0.0019    &0.0021    &0.0023    &0.0026    &0.0029    &0.003     &0.0031    &0.0031    &0.0031    &0.0031    &0.0031   
&Cr-53     &0.0008    &0.0004    &0.0002    &0.0002    &0.0002    &0.0001    &0.0001    &0.0001    &8.62e-05  &5.07e-05  &4.73e-05  &4.7e-05   &4.69e-05 
&Cr-54     &3.9e-06   &5.42e-07  &5.15e-08  &2.32e-08  &1.13e-08  &2.55e-09  &3.13e-10  &6.46e-11  &1.75e-14  &4.98e-16  &3.63e-16  &3.52e-16  &3.51e-16 
&Mn-55     &0.0033    &0.002     &0.0013    &0.0011    &0.001     &0.0007    &0.0004    &0.0002    &2.25e-05  &2.03e-05  &2.23e-05  &2.25e-05  &2.25e-05 
&Fe-54     &0.068     &0.0427    &0.0182    &0.0127    &0.009     &0.0043    &0.0016    &0.0007    &1.52e-05  &1.29e-05  &1.29e-05  &1.29e-05  &1.29e-05 
&Fe-56     &0.0232    &0.0241    &0.0321    &0.0352    &0.0378    &0.042     &0.0455    &0.047     &0.0485    &0.0486    &0.0486    &0.0486    &0.0486   
&Fe-57     &0.0007    &0.0006    &0.0005    &0.0004    &0.0004    &0.0003    &0.0002    &0.0002    &0.0001    &0.0001    &0.0001    &0.0001    &0.0001   
&Fe-58     &5.5e-07   &1.22e-07  &1.57e-08  &7.43e-09  &3.7e-09   &9.14e-10  &1.46e-10  &4.31e-11  &1.96e-13  &3.19e-14  &2.69e-14  &2.64e-14  &2.64e-14 
&Co-59     &1.86e-05  &8.46e-06  &1.78e-06  &9.98e-07  &5.82e-07  &1.94e-07  &4.91e-08  &2.06e-08  &1.86e-08  &2.41e-07  &2.62e-07  &2.64e-07  &2.64e-07 
&Ni-58     &0.0035    &0.0024    &0.0011    &0.0008    &0.0006    &0.0003    &0.0001    &8.12e-05  &3.2e-05   &2.55e-05  &2.47e-05  &2.47e-05  &2.46e-05 
&Ni-60     &0.0001    &3.64e-05  &4.7e-06   &2.14e-06  &1.01e-06  &2.18e-07  &2.97e-08  &7.91e-09  &5.88e-09  &3.11e-07  &3.69e-07  &3.75e-07  &3.76e-07 
&Ni-61     &4.84e-08  &9.71e-09  &1.19e-09  &5.33e-10  &2.57e-10  &6.66e-11  &1.46e-11  &6.52e-12  &3.6e-11   &5.9e-10   &6.77e-10  &6.86e-10  &6.87e-10 
&Ni-62     &3.65e-08  &4.91e-09  &5.8e-10   &3.05e-10  &1.84e-10  &8.07e-11  &2.79e-11  &1.42e-11  &7.72e-12  &5.97e-12  &5.78e-12  &5.76e-12  &5.76e-12 
&Ni-64     &5.13e-15  &2.85e-16  &6.72e-17  &5.81e-17  &5.89e-17  &6.62e-17  &6.16e-18  &4.28e-19  &1.43e-25  &3.37e-26  &2.98e-26  &2.95e-26  &2.94e-26 
&Cu-63     &3.37e-10  &7.07e-11  &6.94e-12  &2.75e-12  &1.16e-12  &2.54e-13  &5.45e-14  &2.36e-14  &3.62e-14  &8.87e-15  &7.61e-15  &7.5e-15   &7.49e-15 
&Cu-65     &2.38e-13  &5.94e-14  &6.78e-15  &2.82e-15  &1.3e-15   &5.52e-16  &1.77e-16  &8.11e-17  &3.55e-18  &3.2e-17   &3.8e-17   &3.86e-17  &3.87e-17 
&Zn-64     &2.6e-10   &9.45e-11  &1.49e-11  &6.91e-12  &3.29e-12  &7.19e-13  &1.21e-13  &4.58e-14  &6.07e-15  &2.32e-15  &2.29e-15  &2.28e-15  &2.28e-15 
&Zn-66     &1.29e-12  &2.08e-13  &1.6e-14   &9.05e-15  &9.51e-15  &2.18e-14  &6.38e-15  &1.1e-15   &1.56e-18  &3.31e-18  &3.66e-18  &3.7e-18   &3.7e-18  
&Zn-67     &2.11e-16  &5.84e-17  &6.43e-18  &2.84e-18  &1.78e-18  &2.8e-18   &1.3e-18   &4.46e-19  &1.78e-19  &1.52e-19  &1.47e-19  &1.47e-19  &1.47e-19 
&Zn-68     &4.99e-17  &2.27e-17  &1.03e-17  &1.01e-17  &9.31e-18  &1.36e-17  &5.03e-18  &1.46e-18  &2.27e-18  &1.45e-18  &1.37e-18  &1.36e-18  &1.36e-18 
&Zn-70     &3.63e-26  &6.82e-25  &2.91e-23  &1.19e-23  &3.22e-24  &9.29e-25  &1.57e-25  &1.39e-26  &1.08e-31  &3.31e-32  &3.14e-32  &3.06e-32  &3.18e-32 
&Ga-69     &6.44e-19  &1.08e-19  &2.63e-19  &3.96e-19  &4.54e-19  &9.71e-19  &6.13e-19  &1.53e-19  &6.65e-21  &3.64e-21  &3.38e-21  &3.36e-21  &3.36e-21 
&Ga-71     &4.89e-22  &1.01e-22  &5.76e-21  &8.15e-21  &9.33e-21  &1.73e-20  &8.19e-21  &1.92e-21  &9.02e-22  &3.6e-22   &3.27e-22  &3.24e-22  &3.24e-22 
&Ge-70     &6.7e-18   &1.45e-18  &7.31e-18  &1.67e-17  &2.41e-17  &5.68e-17  &3.37e-17  &8.74e-18  &1.39e-19  &2.85e-20  &2.44e-20  &2.41e-20  &2.4e-20  
&Ge-72     &2.3e-21   &1.01e-21  &1.91e-18  &3.51e-18  &3.77e-18  &5.14e-18  &3.2e-18   &9.42e-19  &6.66e-20  &4.58e-20  &4.35e-20  &4.32e-20  &4.32e-20 
&Ge-73     &6.7e-24   &1.65e-24  &1.68e-21  &3.75e-21  &4.87e-21  &1.01e-20  &1.27e-20  &8.15e-21  &6.26e-22  &3.12e-22  &2.89e-22  &2.86e-22  &2.86e-22 
&Ge-74     &7.21e-27  &1.71e-24  &2.67e-21  &2.81e-21  &1.34e-21  &4.18e-22  &1.24e-22  &2.36e-23  &8.43e-27  &1.14e-27  &9.43e-28  &9.25e-28  &9.23e-28 
&Ge-76     &5.78e-32  &3.7e-28   &1.1e-25   &4.82e-26  &7.52e-27  &1.06e-28  &1.27e-29  &1.14e-30  &2.16e-32  &9.61e-33  &9.1e-33   &9.23e-33  &9.17e-33 
&As-75     &2.71e-25  &1.04e-24  &7.31e-21  &1.69e-20  &2.11e-20  &3.3e-20   &2.28e-20  &8.07e-21  &6.66e-22  &4.86e-22  &4.69e-22  &4.67e-22  &4.67e-22 
&Se-74     &1.3e-22   &5.62e-23  &4.51e-19  &1.4e-18   &2.13e-18  &4.17e-18  &3.62e-18  &1.48e-18  &4.02e-19  &2.3e-19   &2.14e-19  &2.13e-19  &2.13e-19 
&Se-76     &2.31e-24  &2.62e-23  &4.52e-19  &1.25e-18  &1.59e-18  &1.72e-18  &6.63e-19  &1.77e-19  &1.32e-20  &3.23e-20  &3.44e-20  &3.46e-20  &3.47e-20 
&Se-77     &1.65e-27  &3.63e-26  &3.47e-22  &8.88e-22  &1.11e-21  &1.31e-21  &7.3e-22   &3.7e-22   &1.49e-21  &1.84e-21  &1.85e-21  &1.85e-21  &1.85e-21 
&Se-78     &1.94e-28  &1.51e-25  &2e-21     &4.58e-21  &4.37e-21  &2.64e-21  &6.68e-22  &1.05e-22  &1.09e-25  &1.97e-26  &1.68e-26  &1.66e-26  &1.65e-26 
&Se-80     &3.51e-32  &1.03e-28  &6.11e-25  &6.71e-25  &2.39e-25  &2.42e-26  &3.76e-27  &3.88e-28  &1.82e-32  &8.71e-33  &8.31e-33  &8.39e-33  &8.41e-33 
&Se-82     &1.02e-33  &6.64e-31  &8.32e-29  &4.9e-29   &1.29e-29  &5.55e-31  &6.37e-32  &6.64e-33  &1.49e-33  &1.27e-33  &1.27e-33  &1.28e-33  &1.25e-33 
&Br-79     &7.36e-29  &4.08e-27  &3.06e-22  &1.23e-21  &1.88e-21  &1.95e-21  &7.76e-22  &2.72e-22  &6.49e-22  &3.61e-22  &3.39e-22  &3.37e-22  &3.37e-22 
&Br-81     &2.58e-30  &2.09e-27  &2.03e-22  &8.16e-22  &1.21e-21  &1.09e-21  &2.94e-22  &5.46e-23  &8.99e-23  &1.29e-22  &1.34e-22  &1.34e-22  &1.34e-22 
&Kr-78     &7.06e-27  &3.87e-26  &6.44e-21  &2.99e-20  &5.07e-20  &6.2e-20   &3.03e-20  &1.3e-20   &2.07e-19  &1.68e-19  &1.63e-19  &1.63e-19  &1.63e-19 
&Kr-82     &1.07e-29  &1.95e-26  &1.79e-21  &7.2e-21   &1.02e-20  &7.59e-21  &1.87e-21  &3.6e-22   &5.72e-21  &8.31e-21  &8.46e-21  &8.47e-21  &8.47e-21 
&Kr-83     &5.27e-31  &1.03e-28  &1.56e-23  &8.26e-23  &1.52e-22  &1.67e-22  &6.16e-23  &1.98e-23  &1.26e-22  &1.12e-22  &1.09e-22  &1.08e-22  &1.08e-22 
&Kr-84     &8.45e-32  &1.73e-28  &1.69e-23  &5.97e-23  &6.11e-23  &1.55e-23  &2.06e-24  &2.12e-25  &2.22e-28  &2.85e-29  &2.31e-29  &2.26e-29  &2.25e-29 
&Kr-86     &8.3e-33   &4.47e-30  &3.7e-27   &6.37e-27  &2.96e-27  &1.7e-28   &1.17e-29  &1e-30     &5.02e-33  &4.38e-33  &4.25e-33  &4.16e-33  &4.21e-33 
&Rb-85     &3.52e-31  &1.97e-28  &9.38e-23  &6.23e-22  &1.28e-21  &1.35e-21  &3.8e-22   &8e-23     &9.25e-24  &8e-24     &7.88e-24  &7.87e-24  &7.87e-24 
&Rb-87     &1.3e-32   &1.66e-29  &8.22e-25  &2.9e-24   &2.29e-24  &1.55e-25  &1.33e-26  &9.7e-28   &2.12e-32  &4.78e-33  &4.84e-33  &4.43e-33  &4.52e-33 
&Sr-84     &8.73e-30  &3.73e-27  &2.13e-21  &1.43e-20  &3e-20     &3.51e-20  &1.13e-20  &2.81e-21  &1.03e-21  &6.29e-22  &5.86e-22  &5.82e-22  &5.81e-22 
&Sr-86     &2.65e-30  &5.14e-27  &2.63e-21  &1.74e-20  &3.48e-20  &3.26e-20  &7.23e-21  &1.26e-21  &1.03e-22  &3e-22     &3.21e-22  &3.23e-22  &3.24e-22 
&Sr-87     &1.72e-31  &1.42e-28  &6.99e-23  &4.63e-22  &9.1e-22   &7.78e-22  &1.54e-22  &2.66e-23  &2.67e-23  &4.68e-23  &4.81e-23  &4.82e-23  &4.82e-23 
&Sr-88     &1.09e-30  &2.5e-27   &8.12e-22  &5.1e-21   &1.03e-20  &9.84e-21  &1.68e-21  &2.55e-22  &9.5e-22   &9.2e-22   &9.06e-22  &9.04e-22  &9.04e-22 
&Y-89      &4.69e-31  &5.35e-28  &2.06e-22  &1.31e-21  &2.79e-21  &3.35e-21  &8.86e-22  &1.78e-22  &6.74e-23  &3.74e-23  &3.5e-23   &3.47e-23  &3.47e-23 
&Zr-90     &4.52e-30  &3.45e-27  &1.53e-21  &1.04e-20  &2.54e-20  &4.33e-20  &1.65e-20  &4.8e-21   &3.66e-22  &1.16e-22  &1.11e-22  &1.1e-22   &1.1e-22  
&Zr-91     &3.95e-32  &2.3e-30   &5.98e-25  &3.95e-24  &9.32e-24  &1.62e-23  &8.63e-24  &4.64e-24  &6.91e-23  &5.5e-23   &5.5e-23   &5.5e-23   &5.5e-23  
&Zr-92     &6.7e-34   &7.51e-33  &2.11e-28  &1.46e-27  &3.61e-27  &6.26e-27  &2.96e-27  &1.37e-27  &3.83e-27  &1.07e-27  &9.47e-28  &9.35e-28  &9.34e-28 
&Zr-94     &1.85e-36  &1.46e-35  &7.7e-34   &1.33e-33  &2.32e-33  &1.15e-33  &3.94e-34  &1.39e-34  &9.34e-35  &8.73e-35  &8.74e-35  &8.45e-35  &8.41e-35 
&Zr-96     &1.12e-98  &8.26e-37  &1.11e-35  &1.31e-35  &1.1e-35   &1.01e-35  &1.11e-35  &9.76e-36  &8.56e-36  &6.44e-36  &7.17e-36  &7.32e-36  &7.33e-36 
&Nb-93     &9.37e-34  &7.72e-33  &2.15e-28  &1.49e-27  &3.64e-27  &7.21e-27  &5.69e-27  &5.19e-27  &9.86e-25  &1.79e-24  &1.9e-24   &1.91e-24  &1.91e-24 
&Mo-92     &3.03e-32  &6.16e-31  &1.4e-25   &9.7e-25   &2.35e-24  &4.56e-24  &3.6e-24   &3.46e-24  &1.29e-21  &1.56e-21  &1.57e-21  &1.57e-21  &1.57e-21 
&Mo-94     &3.61e-34  &5.29e-33  &9.69e-30  &7.06e-29  &1.84e-28  &3.82e-28  &2.91e-28  &2.41e-28  &4.16e-25  &2.42e-24  &2.81e-24  &2.85e-24  &2.86e-24 
&Mo-95     &3.61e-35  &1.72e-33  &8.33e-32  &2.66e-31  &5.65e-31  &9e-31     &8.08e-31  &8.03e-31  &5.93e-27  &1.97e-26  &2.16e-26  &2.18e-26  &2.19e-26 
&Mo-96     &7.24e-36  &1.61e-34  &1.24e-32  &3.59e-32  &5.52e-32  &4.89e-32  &2.74e-32  &1.53e-32  &2.88e-32  &1.85e-32  &1.75e-32  &1.74e-32  &1.74e-32 
&Mo-97     &2.84e-36  &1.93e-34  &1.47e-32  &5.1e-32   &1.11e-31  &1.69e-31  &1.29e-31  &9.12e-32  &7.77e-31  &1.64e-30  &1.75e-30  &1.76e-30  &1.76e-30 
&Mo-98     &2.48e-40  &2.91e-36  &9.03e-35  &2.35e-34  &3.52e-34  &2.55e-34  &8.3e-35   &3.02e-35  &2.08e-35  &2.25e-35  &1.99e-35  &2.01e-35  &2.03e-35 
&Mo-100    &1.12e-98  &1.12e-98  &6.09e-36  &6.05e-36  &6.08e-36  &3.18e-36  &1.83e-36  &2.16e-36  &2.43e-36  &2.55e-36  &2.49e-36  &2.5e-36   &2.5e-36  
&Ru-96     &1.28e-35  &1.37e-33  &1.57e-31  &6.61e-31  &3.43e-30  &5.7e-30   &4.85e-30  &3.88e-30  &8.84e-28  &1.71e-27  &1.77e-27  &1.78e-27  &1.78e-27 
&Ru-98     &8.64e-37  &1.25e-34  &1.4e-32   &7.93e-32  &2.17e-31  &4.59e-31  &3.47e-31  &2.26e-31  &1.64e-31  &3.26e-31  &3.83e-31  &3.86e-31  &3.87e-31 
&Ru-99     &1.01e-36  &2.81e-35  &6.35e-33  &1.66e-32  &3.66e-32  &8.3e-32   &9.14e-32  &8.34e-32  &8.04e-32  &8.3e-32   &8.36e-32  &8.34e-32  &8.35e-32 
&Ru-100    &1e-38     &1.9e-35   &1.11e-32  &3.15e-32  &8.23e-32  &2.23e-31  &3.15e-31  &2.53e-31  &2.33e-31  &2.33e-31  &2.35e-31  &2.35e-31  &2.36e-31 
&Ru-101    &2e-98     &2.13e-36  &1.08e-33  &4.13e-33  &7.55e-33  &1.64e-32  &1.51e-32  &1.07e-32  &8.5e-33   &8.62e-33  &8.49e-33  &8.43e-33  &8.44e-33 
&Ru-102    &1.36e-98  &8.31e-38  &1.21e-35  &4.64e-35  &1.01e-34  &1.04e-34  &3.35e-35  &2.73e-35  &1.65e-35  &1.74e-35  &1.58e-35  &1.54e-35  &1.54e-35 
&Ru-104    &1.2e-98   &1.2e-98   &3.57e-36  &5.9e-36   &2.7e-36   &1.82e-36  &1.63e-36  &1.72e-36  &1.65e-36  &1.45e-36  &1.39e-36  &1.4e-36   &1.4e-36  
&Rh-103    &2e-98     &4.13e-37  &2.28e-34  &7.28e-34  &1.69e-33  &2.97e-33  &3.27e-33  &3.46e-33  &3.85e-33  &4.09e-33  &4.13e-33  &4.14e-33  &4.15e-33 
&Pd-102    &5.6e-99   &1.56e-36  &1.94e-33  &5.61e-33  &1.59e-32  &4.6e-32   &5.45e-32  &4.34e-32  &3.42e-32  &3.55e-32  &3.55e-32  &3.61e-32  &3.63e-32 
&Pd-104    &8e-99     &2.59e-37  &3.87e-34  &1.24e-33  &2.87e-33  &5.81e-33  &7.18e-33  &8.2e-33   &9.41e-33  &1.06e-32  &1e-32     &9.99e-33  &1e-32    
