H Yields: 1aSNe (James Keegans)
H Prepared by: Thomas Trueman (October, 2021)
&Isotopes  &Z=0.1     &Z=0.05    &Z=0.02    &Z=0.014   &Z=0.01    &Z=0.005   &Z=0.002   &Z=0.001   &Z=0.0001  &Z=1e-05   &Z=1e-06   &Z=1e-07   &Z=1e-30  
&H-1       &1.19e-16  &2.22e-17  &1.52e-18  &5.36e-19  &2.13e-19  &4.16e-20  &1.58e-20  &1.53e-20  &2.05e-20  &7.87e-20  &9.18e-20  &9.6e-20   &9.62e-20 
&H-2       &8.16e-27  &1.91e-27  &9.78e-27  &1.69e-26  &2.57e-26  &4.73e-26  &6.6e-26   &5.94e-26  &7.15e-27  &3.92e-27  &4.03e-27  &4.06e-27  &4.06e-27 
&He-3      &7.89e-16  &1.85e-16  &3.88e-17  &2.42e-17  &1.61e-17  &8.13e-18  &7.53e-18  &1.13e-17  &2.39e-17  &2.91e-17  &3.03e-17  &3.04e-17  &3.05e-17 
&He-4      &2.76e-12  &1.04e-11  &2.68e-11  &3.58e-11  &4.57e-11  &7.05e-11  &1.1e-10   &1.4e-10   &3.03e-10  &1.72e-09  &1.88e-09  &1.89e-09  &1.89e-09 
&Li-6      &8e-100    &8e-100    &8e-100    &8e-100    &8e-100    &8e-100    &8e-100    &8e-100    &8e-100    &8e-100    &8e-100    &8e-100    &8e-100   
&Li-7      &6.85e-20  &4.66e-20  &9.93e-21  &4.86e-21  &2.42e-21  &6.16e-22  &1.92e-22  &1.94e-22  &3.45e-22  &4.7e-22   &5.08e-22  &5.12e-22  &5.13e-22 
&Be-9      &1.8e-35   &1.45e-35  &9.09e-36  &8.33e-36  &6.34e-36  &4.91e-36  &4.12e-37  &2.01e-37  &1.16e-37  &1.06e-37  &9.66e-38  &1.01e-37  &1.01e-37 
&B-10      &2.51e-22  &1.82e-23  &8.52e-25  &2.86e-25  &1.04e-25  &1.24e-26  &5.94e-28  &4.43e-29  &1.61e-31  &1.3e-31   &1.3e-31   &1.3e-31   &1.3e-31  
&B-11      &3.15e-11  &1.33e-11  &3.84e-12  &2.24e-12  &1.3e-12   &3.79e-13  &5.65e-14  &1.43e-14  &4.07e-12  &5.79e-12  &5.92e-12  &5.93e-12  &5.93e-12 
&C-12      &0.0064    &0.0066    &0.0068    &0.0068    &0.0069    &0.0069    &0.007     &0.007     &0.007     &0.007     &0.007     &0.007     &0.007    
&C-13      &5.94e-07  &2.22e-07  &6.59e-08  &4.25e-08  &2.85e-08  &1.25e-08  &3.95e-09  &1.47e-09  &7.94e-11  &6.39e-11  &6.51e-11  &6.52e-11  &6.53e-11 
&N-14      &1.71e-05  &1.12e-05  &5.7e-06   &4.28e-06  &3.24e-06  &1.79e-06  &7.84e-07  &4.04e-07  &8.36e-08  &7.43e-08  &7.49e-08  &7.5e-08   &7.5e-08  
&N-15      &8.85e-08  &2.31e-08  &1.06e-08  &1.04e-08  &1.16e-08  &1.93e-08  &5.62e-08  &1.44e-07  &1.87e-06  &2.87e-06  &2.97e-06  &2.98e-06  &2.98e-06 
&O-16      &0.191     &0.2       &0.198     &0.195     &0.192     &0.186     &0.182     &0.18      &0.179     &0.179     &0.178     &0.178     &0.178    
&O-17      &1.31e-06  &1.32e-06  &1e-06     &8.36e-07  &6.86e-07  &4.16e-07  &1.74e-07  &7.45e-08  &3.81e-09  &2.01e-09  &1.88e-09  &1.87e-09  &1.87e-09 
