&Isotopes  &Z=0.0    
&H-1       &0.7507   
&H-2       &1.456e-05
&He-3      &4.131e-05
&He-4      &0.2489   
&Li-6      &3.888e-11
&Li-7      &7.774e-10
&Be-9      &4.14e-13 
&B-10      &2.569e-12
&B-11      &1.143e-11
&C-12      &5.001e-05
&C-13      &1.664e-07
&N-14      &4.239e-06
&N-15      &1.67e-08 
&O-16      &0.0002964
&O-17      &1.527e-08
&O-18      &8.692e-08
&F-19      &2.246e-09
&Ne-20     &2.301e-05
&Ne-21     &1.832e-08
&Ne-22     &5.886e-07
&Na-23     &1.601e-07
&Mg-24     &6.047e-06
&Mg-25     &3.096e-07
&Mg-26     &3.542e-07
&Al-27     &2.595e-07
&Si-28     &6.05e-06 
&Si-29     &1.569e-07
&Si-30     &1.07e-07 
&P-31      &2.845e-08
&S-32      &4.372e-06
&S-33      &1.307e-08
&S-34      &7.568e-08
&S-36      &3.232e-10
&Cl-35     &2.731e-08
&Cl-37     &9.231e-09
&Ar-36     &6.552e-07
&Ar-38     &6.302e-08
&Ar-40     &1.061e-10
&K-39      &1.561e-08
&K-40      &2.004e-12
&K-41      &1.185e-09
&Ca-40     &4.823e-07
&Ca-42     &2.027e-09
&Ca-43     &4.33e-10 
&Ca-44     &6.847e-09
&Ca-46     &1.373e-11
&Ca-48     &6.696e-10
&Sc-45     &2.167e-10
&Ti-46     &1.294e-09
&Ti-47     &1.192e-09
&Ti-48     &2.151e-08
&Ti-49     &9.037e-10
&Ti-50     &8.84e-10 
&V-50      &4.066e-12
&V-51      &1.657e-09
&Cr-50     &3.309e-09
&Cr-52     &6.636e-08
&Cr-53     &7.669e-09
&Cr-54     &1.945e-09
&Mn-55     &4.396e-08
&Fe-54     &3.25e-07 
&Fe-56     &5.291e-06
&Fe-57     &1.244e-07
&Fe-58     &1.684e-08
&Co-59     &1.598e-08
&Ni-58     &2.286e-07
&Ni-60     &9.111e-08
&Ni-61     &4.027e-09
&Ni-62     &1.305e-08
&Ni-64     &3.43e-09 
&Cu-63     &2.643e-09
&Cu-65     &1.215e-09
&Zn-64     &4.527e-09
&Zn-66     &2.678e-09
