&Isotopes  &Z=0.0    
&H-1       &0.7514   
&H-2       &1.458e-05
&He-3      &4.125e-05
&He-4      &0.2485   
&Li-6      &5.358e-15
&Li-7      &7.612e-14
&Be-9      &1.035e-13
&B-10      &6.424e-13
&B-11      &2.858e-12
&C-12      &1.25e-05 
&C-13      &4.16e-08 
&N-14      &1.06e-06 
&N-15      &4.174e-09
&O-16      &7.409e-05
&O-17      &3.816e-09
&O-18      &2.173e-08
&F-19      &5.616e-10
&Ne-20     &5.753e-06
&Ne-21     &4.579e-09
&Ne-22     &1.472e-07
&Na-23     &4.003e-08
&Mg-24     &1.512e-06
&Mg-25     &7.74e-08 
&Mg-26     &8.856e-08
&Al-27     &6.487e-08
&Si-28     &1.513e-06
&Si-29     &3.923e-08
&Si-30     &2.675e-08
&P-31      &7.113e-09
&S-32      &1.093e-06
&S-33      &3.268e-09
&S-34      &1.892e-08
&S-36      &8.08e-11 
&Cl-35     &6.827e-09
&Cl-37     &2.308e-09
&Ar-36     &1.638e-07
&Ar-38     &1.576e-08
&Ar-40     &2.653e-11
&K-39      &3.903e-09
&K-40      &5.01e-13 
&K-41      &2.961e-10
&Ca-40     &1.206e-07
&Ca-42     &5.068e-10
&Ca-43     &1.083e-10
&Ca-44     &1.712e-09
&Ca-46     &3.432e-12
&Ca-48     &1.674e-10
&Sc-45     &5.419e-11
&Ti-46     &3.235e-10
&Ti-47     &2.98e-10 
&Ti-48     &5.377e-09
&Ti-49     &2.259e-10
&Ti-50     &2.21e-10 
&V-50      &1.016e-12
&V-51      &4.141e-10
&Cr-50     &8.273e-10
&Cr-52     &1.659e-08
&Cr-53     &1.917e-09
&Cr-54     &4.862e-10
&Mn-55     &1.099e-08
&Fe-54     &8.126e-08
&Fe-56     &1.323e-06
&Fe-57     &3.109e-08
&Fe-58     &4.211e-09
&Co-59     &3.995e-09
&Ni-58     &5.716e-08
&Ni-60     &2.278e-08
&Ni-61     &1.007e-09
&Ni-62     &3.262e-09
&Ni-64     &8.576e-10
&Cu-63     &6.606e-10
&Cu-65     &3.037e-10
&Zn-64     &1.132e-09
&Zn-66     &6.696e-10
&Zn-67     &9.989e-11
&Zn-68     &4.636e-10
&Zn-70     &1.578e-11
&Ga-69     &4.555e-11
&Ga-71     &3.11e-11 
&Ge-70     &5.162e-11
&Ge-72     &6.917e-11
&Ge-73     &1.956e-11
&Ge-74     &9.237e-11
&Ge-76     &1.965e-11
&As-75     &1.431e-11
&Se-74     &1.199e-12
&Se-76     &1.297e-11
&Se-77     &1.071e-11
&Se-78     &3.379e-11
&Se-80     &7.233e-11
&Se-82     &1.305e-11
&Br-79     &1.391e-11
&Br-81     &1.387e-11
&Kr-78     &3.904e-13
&Kr-80     &2.577e-12
&Kr-82     &1.321e-11
&Kr-83     &1.325e-11
&Kr-84     &6.608e-11
&Kr-86     &2.046e-11
&Rb-85     &1.284e-11
&Rb-87     &5.067e-12
&Sr-84     &3.231e-13
&Sr-86     &5.85e-12 
&Sr-87     &4.447e-12
&Sr-88     &5.015e-11
&Y-89      &1.23e-11 
&Zr-90     &1.536e-11
&Zr-91     &3.387e-12
&Zr-92     &5.231e-12
&Zr-94     &5.418e-12
&Zr-96     &8.911e-13
&Nb-93     &1.902e-12
&Mo-92     &1.013e-12
&Mo-94     &6.453e-13
&Mo-95     &1.123e-12
&Mo-96     &1.189e-12
&Mo-97     &6.881e-13
&Mo-98     &1.756e-12
&Mo-100    &7.152e-13
&Ru-96     &2.928e-13
&Ru-98     &1.008e-13
&Ru-99     &6.952e-13
&Ru-100    &6.934e-13
&Ru-101    &9.484e-13
&Ru-102    &1.771e-12
&Ru-104    &1.066e-12
&Rh-103    &1.056e-12
&Pd-102    &4.245e-14
&Pd-104    &4.727e-13
&Pd-105    &9.566e-13
