  1 PROT          7.3735792896E-01
 28 ni 58         4.7886893896E-05
 28 ni 60         1.9082012892E-05
 28 ni 61         8.4330658606E-07
 28 ni 62         2.7329095994E-06
 28 ni 64         7.1844284396E-07
 28 ni 58         4.7886893896E-05
 28 ni 60         1.9082012892E-05
 28 ni 61         8.4330658606E-07
 28 ni 62         2.7329095994E-06
 28 ni 64         7.1844284396E-07
 28 ni 58         4.7886893896E-05
 28 ni 60         1.9082012892E-05
 28 ni 61         8.4330658606E-07
 28 ni 62         2.7329095994E-06
 28 ni 64         7.1844284396E-07
 28 ni 58         4.7886893896E-05
 28 ni 60         1.9082012892E-05
 28 ni 61         8.4330658606E-07
 28 ni 62         2.7329095994E-06
 28 ni 64         7.1844284396E-07
 28 ni 58         4.7886893896E-05
 28 ni 60         1.9082012892E-05
 28 ni 61         8.4330658606E-07
 28 ni 62         2.7329095994E-06
 28 ni 64         7.1844284396E-07
 29 cu 63         4.9323554941E-07
 29 cu 65         2.2682082544E-07
 29 cu 63         4.9323554941E-07
 29 cu 65         2.2682082544E-07
 30 zn 64         8.2574026380E-07
 30 zn 66         4.8854813186E-07
 30 zn 67         7.2881596515E-08
 30 zn 68         3.3827461069E-07
 30 zn 70         1.1514602434E-08
 30 zn 64         8.2574026380E-07
 30 zn 66         4.8854813186E-07
 30 zn 67         7.2881596515E-08
 30 zn 68         3.3827461069E-07
 30 zn 70         1.1514602434E-08
 30 zn 64         8.2574026380E-07
 30 zn 66         4.8854813186E-07
 30 zn 67         7.2881596515E-08
 30 zn 68         3.3827461069E-07
 30 zn 70         1.1514602434E-08
 30 zn 64         8.2574026380E-07
 30 zn 66         4.8854813186E-07
 30 zn 67         7.2881596515E-08
 30 zn 68         3.3827461069E-07
 30 zn 70         1.1514602434E-08
 30 zn 64         8.2574026380E-07
 30 zn 66         4.8854813186E-07
 30 zn 67         7.2881596515E-08
 30 zn 68         3.3827461069E-07
 30 zn 70         1.1514602434E-08
 31 ga 69         3.3234850704E-08
 31 ga 71         2.2696376272E-08
 31 ga 69         3.3234850704E-08
 31 ga 71         2.2696376272E-08
 32 ge 70         4.7640050727E-08
 32 ge 72         6.4754938159E-08
 32 ge 73         1.8428025929E-08
 32 ge 74         8.7674936241E-08
 32 ge 76         1.8887510103E-08
 32 ge 70         4.7640050727E-08
 32 ge 72         6.4754938159E-08
 32 ge 73         1.8428025929E-08
 32 ge 74         8.7674936241E-08
 32 ge 76         1.8887510103E-08
 32 ge 70         4.7640050727E-08
 32 ge 72         6.4754938159E-08
 32 ge 73         1.8428025929E-08
 32 ge 74         8.7674936241E-08
 32 ge 76         1.8887510103E-08
 32 ge 70         4.7640050727E-08
 32 ge 72         6.4754938159E-08
 32 ge 73         1.8428025929E-08
 32 ge 74         8.7674936241E-08
 32 ge 76         1.8887510103E-08
 32 ge 70         4.7640050727E-08
 32 ge 72         6.4754938159E-08
 32 ge 73         1.8428025929E-08
 32 ge 74         8.7674936241E-08
 32 ge 76         1.8887510103E-08
 36 kr 78         3.6699715889E-10
 36 kr 80         2.4185731451E-09
 36 kr 82         1.2421832226E-08
 36 kr 83         1.2455729682E-08
 36 kr 84         6.2126083861E-08
 36 kr 86         1.9234831119E-08
 36 kr 78         3.6699715889E-10
 36 kr 80         2.4185731451E-09
 36 kr 82         1.2421832226E-08
 36 kr 83         1.2455729682E-08
 36 kr 84         6.2126083861E-08
 36 kr 86         1.9234831119E-08
 36 kr 78         3.6699715889E-10
 36 kr 80         2.4185731451E-09
 36 kr 82         1.2421832226E-08
 36 kr 83         1.2455729682E-08
 36 kr 84         6.2126083861E-08
 36 kr 86         1.9234831119E-08
 36 kr 78         3.6699715889E-10
 36 kr 80         2.4185731451E-09
 36 kr 82         1.2421832226E-08
 36 kr 83         1.2455729682E-08
 36 kr 84         6.2126083861E-08
 36 kr 86         1.9234831119E-08
 36 kr 78         3.6699715889E-10
 36 kr 80         2.4185731451E-09
 36 kr 82         1.2421832226E-08
 36 kr 83         1.2455729682E-08
 36 kr 84         6.2126083861E-08
 36 kr 86         1.9234831119E-08
 36 kr 78         3.6699715889E-10
 36 kr 80         2.4185731451E-09
 36 kr 82         1.2421832226E-08
 36 kr 83         1.2455729682E-08
 36 kr 84         6.2126083861E-08
 36 kr 86         1.9234831119E-08
 37 rb 85         1.4568495073E-08
 37 rb 87         6.1367705488E-09
 37 rb 85         1.4568495073E-08
 37 rb 87         6.1367705488E-09
 38 sr 84         2.5394470118E-10
 38 sr 86         4.5977405471E-09
 38 sr 87         3.2504872991E-09
 38 sr 88         3.9418385286E-08
 38 sr 84         2.5394470118E-10
 38 sr 86         4.5977405471E-09
 38 sr 87         3.2504872991E-09
 38 sr 88         3.9418385286E-08
 38 sr 84         2.5394470118E-10
 38 sr 86         4.5977405471E-09
 38 sr 87         3.2504872991E-09
 38 sr 88         3.9418385286E-08
 38 sr 84         2.5394470118E-10
 38 sr 86         4.5977405471E-09
 38 sr 87         3.2504872991E-09
 38 sr 88         3.9418385286E-08
 39 y  89         1.0548941015E-08
 40 zr 90         1.2866398181E-08
 40 zr 91         2.8370262111E-09
 40 zr 92         4.3841060468E-09
 40 zr 94         4.5394864564E-09
 40 zr 96         7.4689295563E-10
 40 zr 90         1.2866398181E-08
 40 zr 91         2.8370262111E-09
 40 zr 92         4.3841060468E-09
 40 zr 94         4.5394864564E-09
 40 zr 96         7.4689295563E-10
 40 zr 90         1.2866398181E-08
 40 zr 91         2.8370262111E-09
 40 zr 92         4.3841060468E-09
 40 zr 94         4.5394864564E-09
 40 zr 96         7.4689295563E-10
 40 zr 90         1.2866398181E-08
 40 zr 91         2.8370262111E-09
 40 zr 92         4.3841060468E-09
 40 zr 94         4.5394864564E-09
 40 zr 96         7.4689295563E-10
 40 zr 90         1.2866398181E-08
 40 zr 91         2.8370262111E-09
 40 zr 92         4.3841060468E-09
 40 zr 94         4.5394864564E-09
 40 zr 96         7.4689295563E-10
 41 nb 93         1.9603061992E-09
 42 mo 92         7.4073836034E-10
 42 mo 94         4.7682308848E-10
 42 mo 95         8.3403602810E-10
 42 mo 96         8.8719646381E-10
 42 mo 97         5.1612939424E-10
 42 mo 98         1.3250020475E-09
 42 mo100         5.4456436818E-10
 42 mo 92         7.4073836034E-10
 42 mo 94         4.7682308848E-10
 42 mo 95         8.3403602810E-10
 42 mo 96         8.8719646381E-10
 42 mo 97         5.1612939424E-10
 42 mo 98         1.3250020475E-09
 42 mo100         5.4456436818E-10
 42 mo 92         7.4073836034E-10
 42 mo 94         4.7682308848E-10
 42 mo 95         8.3403602810E-10
 42 mo 96         8.8719646381E-10
 42 mo 97         5.1612939424E-10
 42 mo 98         1.3250020475E-09
 42 mo100         5.4456436818E-10
 42 mo 92         7.4073836034E-10
 42 mo 94         4.7682308848E-10
 42 mo 95         8.3403602810E-10
 42 mo 96         8.8719646381E-10
 42 mo 97         5.1612939424E-10
 42 mo 98         1.3250020475E-09
 42 mo100         5.4456436818E-10
 42 mo 92         7.4073836034E-10
 42 mo 94         4.7682308848E-10
 42 mo 95         8.3403602810E-10
 42 mo 96         8.8719646381E-10
 42 mo 97         5.1612939424E-10
 42 mo 98         1.3250020475E-09
 42 mo100         5.4456436818E-10
 42 mo 92         7.4073836034E-10
 42 mo 94         4.7682308848E-10
 42 mo 95         8.3403602810E-10
 42 mo 96         8.8719646381E-10
 42 mo 97         5.1612939424E-10
 42 mo 98         1.3250020475E-09
 42 mo100         5.4456436818E-10
 44 ru 96         2.1861179121E-10
 44 ru 98         7.5328664366E-11
 44 ru 99         5.1925232988E-10
 44 ru100         5.1792053422E-10
 44 ru101         7.0826044103E-10
 44 ru102         1.3227937073E-09
 44 ru104         7.9598631437E-10
 44 ru 96         2.1861179121E-10
 44 ru 98         7.5328664366E-11
 44 ru 99         5.1925232988E-10
 44 ru100         5.1792053422E-10
 44 ru101         7.0826044103E-10
 44 ru102         1.3227937073E-09
 44 ru104         7.9598631437E-10
 44 ru 96         2.1861179121E-10
 44 ru 98         7.5328664366E-11
 44 ru 99         5.1925232988E-10
 44 ru100         5.1792053422E-10
 44 ru101         7.0826044103E-10
 44 ru102         1.3227937073E-09
 44 ru104         7.9598631437E-10
 74 w 180         1.1184389362E-12
 74 w 182         2.4973291617E-10
 74 w 183         1.3559674053E-10
 74 w 184         2.9192084708E-10
 74 w 186         2.7380938545E-10
 74 w 180         1.1184389362E-12
 74 w 182         2.4973291617E-10
 74 w 183         1.3559674053E-10
 74 w 184         2.9192084708E-10
 74 w 186         2.7380938545E-10
 74 w 180         1.1184389362E-12
 74 w 182         2.4973291617E-10
 74 w 183         1.3559674053E-10
 74 w 184         2.9192084708E-10
 74 w 186         2.7380938545E-10
 74 w 180         1.1184389362E-12
 74 w 182         2.4973291617E-10
 74 w 183         1.3559674053E-10
 74 w 184         2.9192084708E-10
 74 w 186         2.7380938545E-10
 74 w 180         1.1184389362E-12
 74 w 182         2.4973291617E-10
 74 w 183         1.3559674053E-10
 74 w 184         2.9192084708E-10
 74 w 186         2.7380938545E-10
