RA	DEC	Name	Bensby	Joyce_age	RA_h	RA_m	RA_sec	DEC_d	DEC_m	DEC_s	Teff	error_Teff	log(g)	error_log(g)	[Fe/H]	error_[Fe/H]	Mass	lower_mass_limit	upper_mass_limit	Age_(gyr)	lower_age_limit	upper_age_limit	microlense_Teff	[Mg/Fe]	error_[Mg/Fe]	[Si/Fe]	error_[Si/Fe]	[Ca/Fe]	error_[Ca/Fe]	[Ti/Fe]	error_[Ti/Fe]
272.54567	-25.02783	OGLE-2012-BLG-0211S	7.80	12.86	18	10	10.96	-25	1	40.20	5573	75	4.00	0.12	-0.03	0.08	1.02	0.97	1.18	7.80	5.90	11.50	5742	0.05	0.07	-0.03	0.06	0.05	0.09	-0.06	0.04
258.67692	-29.59733	OGLE-2012-BLG-0270S	11.60	13.51	17	14	42.46	-29	35	50.40	5914	145	4.30	0.22	-0.84	0.13	0.83	0.78	0.89	11.60	5.80	13.00	6081	0.47	0.08	0.28	0.08	0.26	0.10	0.37	0.04
270.67950	-28.38357	MOA-2012-BLG-291S	14.70	15.24	18	2	43.08	-28	23	0.86	5156	107	4.10	0.15	0.16	0.24	0.96	0.94	1.12	14.70	7.90	99.90	5135	0.12	0.21	0.07	0.18	0.04	0.17	0.16	0.17
269.73613	-31.44189	MOA-2012-BLG-391S	6.70	12.71	17	58	56.67	-31	26	30.82	5505	76	3.90	0.14	-0.24	0.07	1.01	0.95	1.22	6.70	4.90	11.80	5390	0.37	0.07	0.14	0.06	0.15	0.09	0.30	0.05
272.59425	-25.17134	MOA-2012-BLG-410S	6.10	12.07	18	10	22.62	-25	10	16.83	5509	80	3.90	0.13	-0.14	0.07	1.06	0.98	1.25	6.10	4.70	11.20	5056	0.12	0.06	0.13	0.06	0.15	0.12	0.13	0.06
271.40308	-25.76317	OGLE-2012-BLG-0521S	5.60	10.68	18	5	36.74	-25	45	47.42	5013	84	3.70	0.14	0.09	0.15	1.04	1.00	1.33	5.60	4.40	11.50	5283	0.17	0.14	0.10	0.11	0.05	0.13	0.23	0.08
269.67138	-30.03661	MOA-2012-BLG-532S	11.60	12.4	17	58	41.13	-30	2	11.80	5626	207	3.90	0.37	-0.55	0.21	0.92	0.82	1.22	11.60	4.00	12.60	5864	0.40	0.16	0.26	0.14	0.32	0.10	0.33	0.05
271.49050	-27.71200	OGLE-2012-BLG-0563S	8.70	12.88	18	5	57.72	-27	42	43.20	5907	89	4.40	0.10	-0.66	0.07	0.86	0.82	0.89	8.70	5.10	11.60	6257	0.41	0.05	0.20	0.06	0.22	0.05	0.30	0.05
268.72446	-31.13864	OGLE-2012-BLG-0617S	12.60	12.65	17	54	53.87	-31	8	19.10	4924	71	3.70	0.16	-0.14	0.09	0.96	0.95	1.15	12.60	6.80	13.30	4867	0.26	0.15	0.16	0.08	0.05	0.21	0.19	0.08
269.56658	-29.95596	OGLE-2012-BLG-0816S	1.60	6.28	17	58	15.98	-29	57	21.45	5395	131	3.50	0.20	-0.10	0.14	1.59	1.16	1.89	1.60	1.60	6.40	5673	0.27	0.15	0.14	0.12	0.14	0.11	0.12	0.13
270.14979	-28.18756	OGLE-2012-BLG-1156S	13.10	13.45	18	0	35.95	-28	11	15.20	6200	200	4.25	0.30	-1.89	0.25	0.76	0.73	0.86	13.10	6.30	13.40	6058	99.99	99.99	0.64	0.25	0.44	0.25	99.99	99.99
272.57021	-27.63306	OGLE-2012-BLG-1217S	10.20	13.13	18	10	16.85	-27	37	59.00	5795	78	4.30	0.13	-0.41	0.07	0.89	0.85	0.93	10.20	6.30	12.40	5712	0.34	0.05	0.17	0.05	0.10	0.05	0.15	0.04
266.25271	-34.54708	OGLE-2012-BLG-1274S	8.20	9.37	17	45	0.65	-34	32	49.50	5733	51	4.10	0.07	0.07	0.04	1.06	1.03	1.13	8.20	6.90	9.10	5811	0.09	0.04	0.02	0.04	0.04	0.04	0.02	0.02
269.21833	-31.78170	OGLE-2012-BLG-1279S	11.60	14.15	17	56	52.40	-31	46	54.12	5796	63	4.40	0.11	-0.62	0.06	0.82	0.80	0.86	11.60	5.50	12.80	6117	0.40	0.07	0.21	0.05	0.28	0.05	0.36	0.06
272.42971	-28.81256	OGLE-2012-BLG-1526S	9.50	12.67	18	9	43.13	-28	48	45.20	5200	61	3.85	0.12	-0.24	0.06	0.97	0.94	1.16	9.50	6.00	12.60	5782	0.23	0.08	0.21	0.06	0.15	0.12	0.16	0.05
270.19313	-28.01675	OGLE-2012-BLG-1534S	6.30	8.35	18	0	46.35	-28	1	0.30	5920	52	4.05	0.08	-0.15	0.04	1.12	1.06	1.17	6.30	5.50	7.50	5971	0.14	0.04	0.04	0.03	0.09	0.04	0.07	0.06
266.30554	-33.49729	MOA-2013-BLG-063S	2.60	3.62	17	45	13.33	-33	29	50.26	6111	170	4.30	0.18	0.47	0.14	1.27	1.17	1.38	2.60	1.20	3.50	6415	0.04	0.10	0.09	0.10	-0.01	0.09	0.07	0.05
268.59108	-31.19443	MOA-2013-BLG-068S	3.80	8.12	17	54	21.86	-31	11	39.95	5312	48	3.70	0.10	-0.27	0.05	1.20	1.08	1.38	3.80	3.20	7.50	5147	0.18	0.04	0.07	0.05	0.15	0.06	0.16	0.07
271.93013	-27.81392	MOA-2013-BLG-299S	13.10	14	18	7	43.23	-27	48	50.10	5503	87	4.40	0.15	-0.48	0.11	0.78	0.76	0.83	13.10	4.60	13.10	5678	0.25	0.06	0.15	0.10	0.09	0.09	0.22	0.07
270.75058	-29.90678	MOA-2013-BLG-402S	5.30	10.62	18	3	0.14	-29	54	24.42	4957	99	3.60	0.17	0.20	0.25	1.06	1.00	1.41	5.30	3.80	11.50	5003	0.12	0.22	0.04	0.17	0.03	0.17	0.11	0.23
271.73408	-31.65756	OGLE-2013-BLG-0446S	5.50	6.98	18	6	56.18	-31	39	27.20	5650	63	4.10	0.09	0.40	0.08	1.16	1.11	1.26	5.50	5.00	7.50	5538	0.09	0.08	0.04	0.06	-0.03	0.05	0.00	0.04
273.40175	-27.72301	MOA-2013-BLG-517S	10.20	12.84	18	13	36.42	-27	43	22.83	6050	198	4.30	0.28	-1.08	0.15	0.80	0.77	0.91	10.20	5.20	12.70	6538	0.42	0.12	0.20	0.10	0.27	0.08	0.29	0.07
270.62354	-33.10894	MOA-2013-BLG-524S	10.20	12.18	18	2	29.65	-33	6	32.20	5932	289	4.40	0.34	-1.01	0.26	0.79	0.73	0.91	10.20	4.40	12.70	6323	0.48	0.20	0.31	0.17	0.32	0.12	99.99	99.99
269.67867	-29.39822	MOA-2013-BLG-605S	8.30	11.35	17	58	42.88	-29	23	53.60	4854	66	3.30	0.14	-0.17	0.09	0.99	0.97	1.25	8.30	5.30	12.80	4885	0.19	0.13	0.10	0.09	0.12	0.15	0.19	0.11
274.02775	-27.18500	OGLE-2013-BLG-0692S	4.10	9.16	18	16	6.66	-27	11	6.00	5015	88	3.60	0.13	0.15	0.19	1.12	1.05	1.47	4.10	3.30	9.80	5066	0.12	0.20	0.11	0.14	0.05	0.20	0.08	0.16
