# [Fe/H] Normalized_Count
-2.0000 1.042548e-07
-1.9500 2.241015e-07
-1.9000 4.724963e-07
-1.8500 9.815752e-07
-1.8000 2.020263e-06
-1.7500 4.143789e-06
-1.7000 8.513293e-06
-1.6500 1.756865e-05
-1.6000 3.639844e-05
-1.5500 7.539616e-05
-1.5000 1.550989e-04
-1.4500 6.661713e-04
-1.4000 1.045118e-03
-1.3500 1.775817e-03
-1.3000 3.016632e-03
-1.2500 4.773257e-03
-1.2000 7.819554e-03
-1.1500 1.269340e-02
-1.1000 2.326978e-02
-1.0500 3.856679e-02
-1.0000 6.210620e-02
-0.9500 8.863967e-02
-0.9000 1.172337e-01
-0.8500 1.543361e-01
-0.8000 1.947509e-01
-0.7500 2.391392e-01
-0.7000 2.842997e-01
-0.6500 3.293965e-01
-0.6000 3.829253e-01
-0.5500 4.390631e-01
-0.5000 4.991276e-01
-0.4500 5.667744e-01
-0.4000 6.293794e-01
-0.3500 6.817936e-01
-0.3000 7.356664e-01
-0.2500 7.905598e-01
-0.2000 8.452011e-01
-0.1500 8.662103e-01
-0.1000 8.604157e-01
-0.0500 8.483745e-01
0.0000 8.356120e-01
0.0500 8.321027e-01
0.1000 8.660715e-01
0.1500 9.249288e-01
0.2000 9.886152e-01
0.2500 1.037369e+00
0.3000 1.048152e+00
0.3500 9.541492e-01
0.4000 8.111736e-01
0.4500 6.382693e-01
0.5000 4.624039e-01
0.5500 3.113906e-01
0.6000 2.042066e-01
0.6500 1.378835e-01
0.7000 9.723964e-02
0.7500 6.429648e-02
0.8000 3.848869e-02
0.8500 2.107065e-02
0.9000 1.121678e-02
0.9500 4.322961e-03
1.0000 1.717280e-03
