# [Fe/H] Normalized_Count
-2.0000 2.432612e-07
-1.9500 5.229036e-07
-1.9000 1.102491e-06
-1.8500 2.290342e-06
-1.8000 4.713947e-06
-1.7500 9.668840e-06
-1.7000 1.986435e-05
-1.6500 4.099353e-05
-1.6000 8.492970e-05
-1.5500 1.759244e-04
-1.5000 3.618974e-04
-1.4500 8.842819e-04
-1.4000 1.634468e-03
-1.3500 3.044579e-03
-1.3000 5.537744e-03
-1.2500 9.636535e-03
-1.2000 1.636930e-02
-1.1500 2.680343e-02
-1.1000 4.346705e-02
-1.0500 6.664226e-02
-1.0000 9.811344e-02
-0.9500 1.352037e-01
-0.9000 1.761905e-01
-0.8500 2.216177e-01
-0.8000 2.664105e-01
-0.7500 3.079302e-01
-0.7000 3.425673e-01
-0.6500 3.692016e-01
-0.6000 3.927804e-01
-0.5500 4.143248e-01
-0.5000 4.396172e-01
-0.4500 4.759005e-01
-0.4000 5.220775e-01
-0.3500 5.769636e-01
-0.3000 6.420076e-01
-0.2500 7.091116e-01
-0.2000 7.675858e-01
-0.1500 7.945469e-01
-0.1000 7.902738e-01
-0.0500 7.700851e-01
0.0000 7.522340e-01
0.0500 7.620048e-01
0.1000 8.286672e-01
0.1500 9.487118e-01
0.2000 1.091818e+00
0.2500 1.206756e+00
0.3000 1.237546e+00
0.3500 1.131858e+00
0.4000 9.280906e-01
0.4500 6.787741e-01
0.5000 4.433490e-01
0.5500 2.618916e-01
0.6000 1.458191e-01
0.6500 8.206717e-02
0.7000 4.955253e-02
0.7500 2.991322e-02
0.8000 1.711257e-02
0.8500 9.172219e-03
0.9000 4.835948e-03
0.9500 1.857862e-03
1.0000 7.368108e-04
