H Yields from Keegans 2023
H Compiled by Thomas Trueman July 2023 
&Isotopes  &Z=0.1     &Z=0.05    &Z=0.02    &Z=0.014   &Z=0.01    &Z=0.005   &Z=0.002   &Z=0.001   &Z=0.0001  &Z=1e-05   &Z=1e-06   &Z=1e-07   &Z=1e-30  
&O-17      &9.6e-08   &1.06e-07  &9.97e-08  &9.27e-08  &8.66e-08  &7.1e-08   &4.26e-08  &2.34e-08  &1.39e-09  &3.95e-10  &3.41e-10  &3.35e-10  &3.35e-10 
&O-18      &3.11e-08  &7.34e-09  &1.05e-09  &7.12e-10  &5.3e-10   &2.53e-10  &5.91e-11  &1.83e-11  &7.56e-14  &5.56e-15  &4.57e-15  &4.48e-15  &4.47e-15 
&F-19      &5.25e-10  &4.79e-10  &2.16e-10  &1.43e-10  &1.09e-10  &6.79e-11  &2.77e-11  &1.41e-11  &2.75e-11  &4.01e-11  &4.22e-11  &4.24e-11  &4.25e-11 
&Ne-20     &0.000328  &0.000383  &0.000439  &0.000456  &0.000469  &0.00049   &0.000507  &0.000514  &0.000521  &0.000522  &0.000522  &0.000522  &0.000522 
&Ne-21     &1.06e-05  &4.63e-06  &1.36e-06  &8.42e-07  &6.17e-07  &3.55e-07  &1.28e-07  &4.57e-08  &4.28e-09  &3.12e-09  &3.03e-09  &3.02e-09  &3.02e-09 
&Ne-22     &9.71e-05  &3.48e-05  &9.27e-06  &5.66e-06  &3.55e-06  &1.3e-06   &3.39e-07  &1.24e-07  &3.13e-09  &2.11e-10  &1.24e-10  &1.19e-10  &1.18e-10 
&Na-23     &4.38e-05  &1.73e-05  &6.64e-06  &4.68e-06  &3.65e-06  &2.46e-06  &1.67e-06  &1.43e-06  &1.32e-06  &1.32e-06  &1.32e-06  &1.32e-06  &1.32e-06 
&Mg-24     &0.00119   &0.000905  &0.00171   &0.00232   &0.00301   &0.00458   &0.00626   &0.00698   &0.00748   &0.00746   &0.00745   &0.00745   &0.00745  
&Mg-25     &0.000222  &7.09e-05  &2.12e-05  &1.37e-05  &9.19e-06  &4.46e-06  &2.01e-06  &1.27e-06  &1.05e-07  &7.48e-08  &7.3e-08   &7.27e-08  &7.27e-08 
&Mg-26     &0.000132  &3.39e-05  &1.12e-05  &7.88e-06  &5.64e-06  &2.78e-06  &1e-06     &4.46e-07  &5.86e-08  &3.57e-08  &3.37e-08  &3.35e-08  &3.34e-08 
&Al-27     &0.000293  &0.000177  &0.000159  &0.000156  &0.000148  &0.000119  &7.12e-05  &4.15e-05  &1.39e-05  &1.47e-05  &1.48e-05  &1.48e-05  &1.48e-05 
&Si-28     &0.185     &0.191     &0.193     &0.194     &0.194     &0.195     &0.194     &0.192     &0.189     &0.189     &0.189     &0.189     &0.189    
&Si-29     &0.00236   &0.000592  &0.000262  &0.000223  &0.000198  &0.00016   &0.000119  &9.41e-05  &2.52e-05  &2.21e-05  &2.21e-05  &2.21e-05  &2.21e-05 
&Si-30     &0.00576   &0.00182   &0.000602  &0.000421  &0.000299  &0.000135  &3.71e-05  &1.04e-05  &5.28e-07  &6.87e-07  &7.13e-07  &7.15e-07  &7.16e-07 
&P-31      &0.000533  &0.000353  &0.000183  &0.000144  &0.000114  &6.89e-05  &3.53e-05  &2.24e-05  &1.81e-05  &2.57e-05  &2.66e-05  &2.67e-05  &2.67e-05 
&S-32      &0.0714    &0.0906    &0.103     &0.104     &0.105     &0.106     &0.107     &0.107     &0.109     &0.11      &0.11      &0.11      &0.11     
&S-33      &0.000262  &0.000229  &0.000144  &0.000119  &9.91e-05  &6.81e-05  &4.31e-05  &3.35e-05  &1.95e-05  &1.62e-05  &1.59e-05  &1.58e-05  &1.58e-05 
&S-34      &0.00764   &0.00419   &0.00159   &0.00108   &0.000738  &0.000332  &0.000105  &3.58e-05  &6.99e-07  &1.79e-06  &1.95e-06  &1.97e-06  &1.97e-06 
&S-36      &5.3e-06   &5.92e-07  &3.96e-08  &1.7e-08   &7.9e-09   &1.88e-09  &2.38e-10  &4e-11     &1.31e-14  &7.19e-15  &6.88e-15  &6.85e-15  &6.84e-15 
&Cl-35     &0.000127  &0.000114  &6.64e-05  &5.02e-05  &3.81e-05  &2.18e-05  &1.07e-05  &6.66e-06  &3.67e-06  &4.93e-06  &5.12e-06  &5.14e-06  &5.14e-06 
&Cl-37     &2.72e-06  &9.62e-07  &2.27e-07  &1.34e-07  &8.2e-08   &3.07e-08  &8.45e-09  &3.25e-09  &3.32e-11  &2.33e-11  &2.25e-11  &2.25e-11  &2.25e-11 
&Ar-36     &0.0123    &0.0164    &0.0199    &0.0206    &0.0211    &0.0218    &0.0224    &0.0228    &0.0236    &0.0237    &0.0237    &0.0237    &0.0237   
&Ar-38     &0.00357   &0.00214   &0.000809  &0.000529  &0.00035   &0.000148  &4.66e-05  &1.78e-05  &3.04e-08  &2.93e-08  &2.9e-08   &2.89e-08  &2.9e-08  
&Ar-40     &6.34e-08  &1.09e-08  &6.73e-10  &2.39e-10  &9.77e-11  &1.97e-11  &2.81e-12  &5.47e-13  &2.81e-16  &1.85e-16  &1.78e-16  &1.77e-16  &1.77e-16 
&K-39      &8.87e-05  &8.94e-05  &5.48e-05  &4.28e-05  &3.35e-05  &2e-05     &9.63e-06  &5.8e-06   &1.83e-06  &2.04e-06  &2.06e-06  &2.06e-06  &2.06e-06 
&K-40      &2.67e-08  &3.38e-08  &1.48e-08  &8.45e-09  &4.9e-09   &1.72e-09  &5.28e-10  &2.31e-10  &8.19e-13  &4.65e-13  &4.47e-13  &4.46e-13  &4.45e-13 
&K-41      &1.75e-08  &6.1e-09   &1.17e-09  &6.45e-10  &3.82e-10  &1.4e-10   &3.91e-11  &1.49e-11  &3.42e-14  &2.05e-14  &1.98e-14  &1.97e-14  &1.97e-14 
&Ca-40     &0.0121    &0.0159    &0.0194    &0.0202    &0.0208    &0.0217    &0.0226    &0.0231    &0.0241    &0.0243    &0.0243    &0.0243    &0.0243   
&Ca-42     &7.03e-05  &5.18e-05  &2.04e-05  &1.3e-05   &8.39e-06  &3.31e-06  &9.14e-07  &3.21e-07  &3.44e-09  &5.38e-09  &5.48e-09  &5.48e-09  &5.48e-09 
&Ca-43     &1.23e-07  &7.97e-08  &2.95e-08  &1.72e-08  &9.82e-09  &2.86e-09  &5.18e-10  &1.49e-10  &2.1e-11   &2.93e-11  &3.01e-11  &3.01e-11  &3.02e-11 
&Ca-44     &1.6e-07   &7.26e-08  &2.01e-08  &9.48e-09  &4.53e-09  &9.76e-10  &1.16e-10  &2.25e-11  &1.42e-15  &6.54e-16  &6.2e-16   &6.18e-16  &6.17e-16 
&Ca-46     &6.19e-10  &9.41e-11  &4.61e-12  &1.06e-12  &2.61e-13  &1.7e-14   &4.86e-16  &2.85e-17  &2.91e-21  &7.33e-22  &6.4e-22   &6.32e-22  &6.31e-22 
&Ca-48     &4.63e-12  &4.78e-14  &1.81e-16  &3.11e-17  &3.78e-18  &1.08e-19  &1.21e-21  &1.75e-23  &7.71e-29  &7.69e-30  &5.98e-30  &5.84e-30  &5.82e-30 
&Sc-45     &4.75e-08  &3.18e-08  &1.49e-08  &8.9e-09   &5.2e-09   &1.63e-09  &3.61e-10  &1.39e-10  &1.57e-11  &9.05e-12  &8.44e-12  &8.63e-12  &8.49e-12 
&Ti-46     &3.44e-05  &2.47e-05  &1.02e-05  &6.68e-06  &4.36e-06  &1.69e-06  &4.46e-07  &2.8e-07   &4.16e-07  &4.49e-07  &4.42e-07  &4.39e-07  &4.41e-07 
&Ti-47     &1.04e-06  &4.96e-07  &1.33e-07  &7.42e-08  &4.09e-08  &1.14e-08  &2.06e-09  &1.1e-09   &1.69e-09  &1.86e-09  &1.83e-09  &1.82e-09  &1.83e-09 
&Ti-48     &2.58e-06  &4.34e-07  &1.02e-07  &5.86e-08  &3.03e-08  &5.97e-09  &5.66e-10  &9.75e-11  &1.48e-12  &1.19e-12  &1.17e-12  &1.17e-12  &1.17e-12 
&Ti-49     &6.26e-09  &1.49e-09  &7.6e-10   &4.49e-10  &2.07e-10  &2.65e-11  &1.38e-12  &1.52e-13  &1.66e-16  &8.74e-17  &8.13e-17  &8.08e-17  &8.06e-17 
&Ti-50     &6.71e-09  &1.08e-09  &3.78e-10  &1.93e-10  &8.13e-11  &9.33e-12  &3.58e-13  &2.22e-14  &1.33e-19  &4.77e-20  &4.27e-20  &4.22e-20  &4.21e-20 
&V-50      &3.84e-08  &6.39e-09  &1.97e-09  &1.22e-09  &6.11e-10  &9.85e-11  &7.9e-12   &1.25e-12  &2.07e-16  &6.86e-17  &6.29e-17  &6.24e-17  &6.22e-17 
&V-51      &2.74e-07  &3.06e-08  &5.43e-09  &3.5e-09   &2.04e-09  &3.92e-10  &2.82e-11  &3.65e-12  &1.86e-15  &1.96e-15  &1.96e-15  &1.95e-15  &1.95e-15 
&Cr-50     &0.00127   &0.000676  &0.000237  &0.000157  &0.000107  &4.76e-05  &1.59e-05  &8.04e-06  &4.27e-06  &4.2e-06   &4.14e-06  &4.11e-06  &4.13e-06 
&Cr-52     &0.00171   &0.000202  &1.63e-05  &7.12e-06  &3.3e-06   &6.81e-07  &7.47e-08  &1.23e-08  &1.37e-11  &1.13e-11  &1.12e-11  &1.12e-11  &1.11e-11 
&Cr-53     &4.97e-07  &4.12e-08  &2.91e-09  &1.23e-09  &5.77e-10  &1.11e-10  &8.32e-12  &1.06e-12  &1.32e-15  &9.01e-16  &8.64e-16  &8.61e-16  &8.59e-16 
&Cr-54     &1.78e-08  &1.01e-09  &6.21e-11  &3.11e-11  &1.84e-11  &4.2e-12   &2.22e-13  &1.92e-14  &7.31e-20  &2.68e-20  &2.43e-20  &2.4e-20   &2.4e-20  
&Mn-55     &1.37e-06  &1.38e-07  &1.07e-08  &4.42e-09  &2.01e-09  &4.12e-10  &3.72e-11  &6.05e-12  &6.06e-16  &1.01e-16  &8.75e-17  &8.67e-17  &8.46e-17 
&Fe-54     &0.105     &0.0564    &0.0225    &0.0155    &0.0108    &0.00511   &0.00182   &0.000793  &3.65e-05  &3.19e-05  &3.21e-05  &3.21e-05  &3.2e-05  
&Fe-56     &0.00449   &0.000857  &9.34e-05  &4.3e-05   &2.07e-05  &4.64e-06  &6.06e-07  &1.26e-07  &5.83e-11  &8.3e-12   &7.69e-12  &7.65e-12  &7.63e-12 
&Fe-57     &7.96e-07  &1.06e-07  &9.25e-09  &3.76e-09  &1.62e-09  &2.95e-10  &2.98e-11  &5.48e-12  &3.98e-15  &3.14e-15  &3.11e-15  &3.11e-15  &3.11e-15 
&Fe-58     &6.39e-08  &5.59e-09  &3.31e-10  &1.19e-10  &5.09e-11  &1.54e-11  &1.63e-12  &2e-13     &3.66e-18  &5.28e-19  &4.72e-19  &4.67e-19  &4.67e-19 
&Co-59     &2.38e-07  &3.61e-08  &3.36e-09  &1.38e-09  &6.02e-10  &1.3e-10   &1.7e-11   &3.18e-12  &8.42e-14  &8.19e-14  &8.19e-14  &8.16e-14  &8.18e-14 
&Ni-58     &0.0814    &0.0384    &0.0139    &0.0092    &0.00611   &0.00233   &0.000489  &0.000703  &0.000815  &0.00082   &0.00082   &0.000817  &0.000818 
&Ni-60     &7.89e-05  &2e-05     &2.8e-06   &1.43e-06  &8.22e-07  &3.99e-07  &2.94e-07  &2.69e-07  &2.64e-07  &2.64e-07  &2.63e-07  &2.63e-07  &2.63e-07 
&Ni-61     &3.31e-08  &7.5e-09   &2.15e-09  &1.71e-09  &1.49e-09  &1.29e-09  &1.09e-09  &8.49e-10  &6.87e-10  &6.73e-10  &6.7e-10   &6.69e-10  &6.69e-10 
&Ni-62     &2.47e-08  &4.51e-09  &1.05e-09  &6.92e-10  &4.82e-10  &2.41e-10  &6.66e-11  &1.37e-11  &1.09e-11  &1.1e-11   &1.09e-11  &1.09e-11  &1.09e-11 
&Ni-64     &4.62e-15  &2.53e-16  &3.36e-17  &2.77e-17  &2.58e-17  &2.26e-17  &1.68e-18  &8.17e-20  &2.82e-23  &2.63e-23  &2.6e-23   &2.6e-23   &2.6e-23  
