H Yields from Keegans 2023
H Compiled by Thomas Trueman July 2023 
&Isotopes  &Z=0.1     &Z=0.05    &Z=0.02    &Z=0.014   &Z=0.01    &Z=0.005   &Z=0.002   &Z=0.001   &Z=0.0001  &Z=1e-05   &Z=1e-06   &Z=1e-07   &Z=1e-30  
&H-1       &2.33e-14  &2.46e-13  &1.57e-12  &2.88e-12  &4.95e-12  &1.41e-11  &1.52e-09  &6.66e-09  &1.8e-08   &1.95e-08  &1.98e-08  &1.95e-08  &1.96e-08 
&H-2       &1.25e-26  &2.18e-27  &1.9e-26   &4.61e-26  &1.02e-25  &3.8e-25   &2.62e-23  &1.12e-22  &1.87e-22  &1.95e-22  &1.96e-22  &1.95e-22  &1.96e-22 
&He-3      &5.52e-17  &8.64e-17  &4.38e-17  &3e-17     &2.08e-17  &9.35e-18  &4.43e-18  &4.94e-18  &8.52e-18  &8.93e-18  &9.04e-18  &9.05e-18  &9.05e-18 
&He-4      &0.00199   &0.00329   &0.00416   &0.00433   &0.00445   &0.0046    &0.00467   &0.00467   &0.00469   &0.00469   &0.00467   &0.00466   &0.00467  
&Li-7      &1.57e-19  &2.19e-19  &8.62e-20  &6.19e-20  &3.34e-20  &5.71e-21  &1.17e-21  &3.9e-22   &3.74e-23  &2.47e-23  &2.4e-23   &2.4e-23   &2.4e-23  
&B-11      &7.89e-12  &3.58e-12  &1.39e-12  &9.59e-13  &6.42e-13  &2.22e-13  &3.36e-14  &7.68e-15  &1.24e-14  &2.5e-14   &2.61e-14  &2.62e-14  &2.62e-14 
&C-12      &0.000823  &0.000846  &0.000863  &0.000868  &0.000872  &0.00088   &0.000887  &0.000891  &0.000897  &0.000898  &0.000898  &0.000898  &0.000898 
&C-13      &2.43e-07  &1.27e-07  &4.72e-08  &3.1e-08   &2.06e-08  &8.47e-09  &2.37e-09  &8.71e-10  &3.13e-11  &1.36e-11  &1.29e-11  &1.28e-11  &1.28e-11 
&N-14      &1.19e-07  &1.44e-07  &1.65e-07  &1.73e-07  &1.77e-07  &1.68e-07  &1.27e-07  &8.34e-08  &1.72e-08  &1.28e-08  &1.28e-08  &1.28e-08  &1.28e-08 
&N-15      &2.04e-08  &4.8e-09   &8.15e-10  &5.92e-10  &4.67e-10  &2.93e-10  &2.82e-10  &6.09e-10  &1.63e-08  &3.34e-08  &3.53e-08  &3.55e-08  &3.55e-08 
&O-16      &0.0512    &0.0548    &0.0547    &0.0541    &0.0534    &0.052     &0.0505    &0.0498    &0.0485    &0.0481    &0.0481    &0.0481    &0.0481   
