H Yields: 1aSNe (James Keegans)
H Prepared by: Thomas Trueman (October, 2021)
&Isotopes  &Z=0.1     &Z=0.05    &Z=0.02    &Z=0.014   &Z=0.01    &Z=0.005   &Z=0.002   &Z=0.001   &Z=0.0001  &Z=1e-05   &Z=1e-06   &Z=1e-07   &Z=1e-30  
&S-32      &0.0714    &0.0905    &0.102     &0.104     &0.105     &0.106     &0.107     &0.107     &0.109     &0.11      &0.11      &0.11      &0.11     
&S-33      &0.0002    &0.0002    &0.0001    &0.0001    &9.91e-05  &6.81e-05  &4.31e-05  &3.35e-05  &1.95e-05  &1.62e-05  &1.59e-05  &1.59e-05  &1.59e-05 
&S-34      &0.0076    &0.0041    &0.0015    &0.001     &0.0007    &0.0003    &0.0001    &3.58e-05  &7.16e-07  &1.85e-06  &2.02e-06  &2.03e-06  &2.04e-06 
&S-36      &5.3e-06   &5.92e-07  &3.96e-08  &1.7e-08   &7.9e-09   &1.88e-09  &2.38e-10  &4e-11     &1.31e-14  &7.19e-15  &6.88e-15  &6.85e-15  &6.84e-15 
&Cl-35     &0.0001    &0.0001    &6.65e-05  &5.03e-05  &3.81e-05  &2.18e-05  &1.07e-05  &6.7e-06   &3.78e-06  &5.08e-06  &5.28e-06  &5.3e-06   &5.3e-06  
&Cl-37     &2.96e-05  &2.6e-05   &1.62e-05  &1.31e-05  &1.07e-05  &7.17e-06  &4.43e-06  &3.3e-06   &1.76e-06  &1.38e-06  &1.34e-06  &1.34e-06  &1.33e-06 
&Ar-36     &0.0122    &0.0164    &0.0199    &0.0206    &0.0211    &0.0217    &0.0223    &0.0227    &0.0235    &0.0237    &0.0237    &0.0237    &0.0237   
&Ar-38     &0.0035    &0.0021    &0.0008    &0.0005    &0.0003    &0.0001    &4.67e-05  &1.83e-05  &1.12e-06  &1.23e-06  &1.22e-06  &1.21e-06  &1.21e-06 
&Ar-40     &6.34e-08  &1.09e-08  &6.73e-10  &2.39e-10  &9.77e-11  &1.97e-11  &2.81e-12  &5.47e-13  &2.81e-16  &1.85e-16  &1.78e-16  &1.77e-16  &1.77e-16 
&K-39      &8.87e-05  &8.94e-05  &5.48e-05  &4.28e-05  &3.35e-05  &2e-05     &9.63e-06  &5.8e-06   &1.84e-06  &2.04e-06  &2.06e-06  &2.06e-06  &2.06e-06 
&K-40      &2.67e-08  &3.38e-08  &1.48e-08  &8.45e-09  &4.9e-09   &1.72e-09  &5.28e-10  &2.31e-10  &8.19e-13  &4.65e-13  &4.47e-13  &4.46e-13  &4.45e-13 
&K-41      &4.37e-06  &4.82e-06  &3.33e-06  &2.73e-06  &2.23e-06  &1.46e-06  &8.66e-07  &6.2e-07   &2.98e-07  &2.09e-07  &2e-07     &2e-07     &1.99e-07 
&Ca-40     &0.012     &0.0158    &0.0193    &0.0202    &0.0208    &0.0217    &0.0225    &0.0231    &0.024     &0.0242    &0.0242    &0.0242    &0.0242   
&Ca-42     &7.03e-05  &5.18e-05  &2.04e-05  &1.3e-05   &8.39e-06  &3.31e-06  &9.14e-07  &3.21e-07  &3.44e-09  &5.38e-09  &5.48e-09  &5.48e-09  &5.48e-09 
&Ca-43     &1.62e-07  &2.4e-07   &3.36e-07  &3.54e-07  &3.57e-07  &3.04e-07  &7.78e-08  &4.17e-08  &5.4e-08   &7.48e-08  &7.68e-08  &7.68e-08  &7.69e-08 
&Ca-44     &9.18e-06  &1.38e-05  &1.86e-05  &1.98e-05  &2.07e-05  &2.21e-05  &2.36e-05  &2.39e-05  &2.4e-05   &2.41e-05  &2.4e-05   &2.43e-05  &2.41e-05 
&Ca-46     &6.21e-10  &9.42e-11  &4.61e-12  &1.06e-12  &2.61e-13  &1.7e-14   &4.86e-16  &2.85e-17  &2.91e-21  &7.33e-22  &6.4e-22   &6.32e-22  &6.31e-22 
&Ca-48     &4.63e-12  &4.78e-14  &1.81e-16  &3.11e-17  &3.78e-18  &1.08e-19  &1.21e-21  &1.75e-23  &7.71e-29  &7.69e-30  &5.98e-30  &5.84e-30  &5.82e-30 
&Sc-45     &1.96e-07  &1.98e-07  &1.59e-07  &1.39e-07  &1.21e-07  &9.23e-08  &6.8e-08   &5.77e-08  &2.88e-08  &1.72e-08  &1.61e-08  &1.66e-08  &1.63e-08 
&Ti-46     &3.44e-05  &2.47e-05  &1.02e-05  &6.68e-06  &4.36e-06  &1.69e-06  &4.46e-07  &2.8e-07   &4.16e-07  &4.49e-07  &4.42e-07  &4.39e-07  &4.41e-07 
&Ti-47     &1.42e-06  &9.85e-07  &6.44e-07  &5.44e-07  &4.61e-07  &3.08e-07  &1.36e-07  &2.46e-07  &6.19e-07  &6.78e-07  &6.7e-07   &6.65e-07  &6.67e-07 
&Ti-48     &0.0002    &0.0003    &0.0004    &0.0004    &0.0004    &0.0004    &0.0005    &0.0005    &0.0005    &0.0005    &0.0005    &0.0005    &0.0005   
&Ti-49     &3.63e-05  &3.34e-05  &2.66e-05  &2.35e-05  &2.07e-05  &1.6e-05   &1.25e-05  &1.12e-05  &5.31e-06  &2.62e-06  &2.43e-06  &2.42e-06  &2.41e-06 
&Ti-50     &6.71e-09  &1.08e-09  &3.78e-10  &1.93e-10  &8.13e-11  &9.33e-12  &3.58e-13  &2.22e-14  &1.33e-19  &4.77e-20  &4.27e-20  &4.22e-20  &4.21e-20 
&V-50      &3.84e-08  &6.39e-09  &1.97e-09  &1.22e-09  &6.11e-10  &9.85e-11  &7.9e-12   &1.25e-12  &2.07e-16  &6.86e-17  &6.29e-17  &6.24e-17  &6.22e-17 
&V-51      &0.0001    &0.0001    &7.32e-05  &5.99e-05  &4.91e-05  &3.18e-05  &1.72e-05  &1.2e-05   &8.85e-06  &1.08e-05  &1.09e-05  &1.09e-05  &1.09e-05 
&Cr-50     &0.0012    &0.0006    &0.0002    &0.0001    &0.0001    &4.76e-05  &1.59e-05  &8.04e-06  &4.27e-06  &4.2e-06   &4.14e-06  &4.11e-06  &4.13e-06 
&Cr-52     &0.0076    &0.008     &0.0095    &0.0099    &0.0102    &0.0107    &0.0111    &0.0112    &0.0113    &0.0113    &0.0113    &0.0113    &0.0113   
&Cr-53     &0.0015    &0.0011    &0.0007    &0.0006    &0.0005    &0.0004    &0.0003    &0.0003    &0.0002    &0.0001    &0.0001    &0.0001    &0.0001   
&Cr-54     &2.78e-06  &3.8e-07   &3.62e-08  &1.64e-08  &7.84e-09  &1.72e-09  &2.05e-10  &3.97e-11  &1.44e-14  &6.69e-16  &5.05e-16  &4.94e-16  &4.79e-16 
&Mn-55     &0.0102    &0.0069    &0.0042    &0.0034    &0.0028    &0.0018    &0.001     &0.0006    &8.74e-05  &7.62e-05  &7.7e-05   &7.73e-05  &7.7e-05  
&Fe-54     &0.105     &0.0563    &0.0225    &0.0154    &0.0108    &0.0051    &0.0018    &0.0007    &3.65e-05  &3.19e-05  &3.21e-05  &3.21e-05  &3.2e-05  
&Fe-56     &0.41      &0.482     &0.53      &0.541     &0.548     &0.557     &0.563     &0.565     &0.568     &0.568     &0.568     &0.568     &0.568    
&Fe-57     &0.0182    &0.0142    &0.0099    &0.0088    &0.0079    &0.0067    &0.0057    &0.0048    &0.0039    &0.0038    &0.0038    &0.0038    &0.0038   
&Fe-58     &3.9e-07   &8.44e-08  &1.07e-08  &5.07e-09  &2.5e-09   &5.9e-10   &8.31e-11  &1.97e-11  &9.46e-14  &2.09e-14  &1.85e-14  &1.83e-14  &1.83e-14 
&Co-59     &0.0004    &0.0004    &0.0003    &0.0002    &0.0002    &0.0001    &4.39e-05  &0.0002    &0.0005    &0.0005    &0.0005    &0.0005    &0.0005   
