&Isotopes  &Z=0.0    
&H-1       &0.7064   
&H-2       &1.371e-05
&He-3      &4.54e-05 
&He-4      &0.2735   
&Li-6      &5.353e-12
&Li-7      &7.605e-11
&Be-9      &1.034e-10
&B-10      &6.418e-10
&B-11      &2.856e-09
&C-12      &0.003425 
&C-13      &4.156e-05
&N-14      &0.001059 
&N-15      &4.171e-06
&O-16      &0.009624 
&O-17      &3.813e-06
&O-18      &2.171e-05
&F-19      &5.611e-07
&Ne-20     &0.001818 
&Ne-21     &4.575e-06
&Ne-22     &0.000147 
&Na-23     &4e-05    
&Mg-24     &0.0005862
&Mg-25     &7.733e-05
&Mg-26     &8.848e-05
&Al-27     &6.481e-05
&Si-28     &0.0007453
&Si-29     &3.919e-05
&Si-30     &2.673e-05
&P-31      &7.106e-06
&S-32      &0.0004011
&S-33      &3.265e-06
&S-34      &1.89e-05 
&S-36      &8.073e-08
&Cl-35     &6.821e-06
&Cl-37     &2.306e-06
&Ar-36     &8.202e-05
&Ar-38     &1.574e-05
&Ar-40     &2.65e-08 
&K-39      &3.9e-06  
&K-40      &5.005e-10
&K-41      &2.959e-07
&Ca-40     &7.225e-05
&Ca-42     &5.063e-07
&Ca-43     &1.082e-07
&Ca-44     &1.71e-06 
&Ca-46     &3.428e-09
&Ca-48     &1.672e-07
&Sc-45     &5.414e-08
&Ti-46     &3.232e-07
&Ti-47     &2.977e-07
&Ti-48     &3.014e-06
&Ti-49     &2.257e-07
&Ti-50     &2.208e-07
&V-50      &1.015e-09
&V-51      &4.138e-07
&Cr-50     &8.265e-07
&Cr-52     &1.658e-05
&Cr-53     &1.916e-06
&Cr-54     &4.858e-07
&Mn-55     &1.098e-05
&Fe-54     &8.118e-05
&Fe-56     &0.001322 
&Fe-57     &3.107e-05
&Fe-58     &4.207e-06
&Co-59     &3.991e-06
&Ni-58     &5.711e-05
&Ni-60     &2.276e-05
&Ni-61     &1.006e-06
&Ni-62     &3.259e-06
&Ni-64     &8.568e-07
&Cu-63     &6.6e-07  
&Cu-65     &3.035e-07
&Zn-64     &1.131e-06
&Zn-66     &6.69e-07 
&Zn-67     &9.98e-08 
&Zn-68     &4.632e-07
&Zn-70     &1.577e-08
&Ga-69     &4.551e-08
&Ga-71     &3.108e-08
&Ge-70     &5.157e-08
&Ge-72     &6.91e-08 
&Ge-73     &1.955e-08
&Ge-74     &9.228e-08
&Ge-76     &1.963e-08
&As-75     &1.43e-08 
&Se-74     &1.198e-09
&Se-76     &1.296e-08
&Se-77     &1.07e-08 
&Se-78     &3.376e-08
&Se-80     &7.226e-08
&Se-82     &1.304e-08
&Br-79     &1.389e-08
&Br-81     &1.386e-08
&Kr-78     &3.9e-10  
&Kr-80     &2.575e-09
&Kr-82     &1.32e-08 
&Kr-83     &1.324e-08
&Kr-84     &6.602e-08
&Kr-86     &2.044e-08
&Rb-85     &1.282e-08
&Rb-87     &5.063e-09
&Sr-84     &3.228e-10
&Sr-86     &5.845e-09
&Sr-87     &4.443e-09
&Sr-88     &5.011e-08
&Y-89      &1.229e-08
&Zr-90     &1.534e-08
&Zr-91     &3.384e-09
&Zr-92     &5.227e-09
&Zr-94     &5.413e-09
&Zr-96     &8.903e-10
&Nb-93     &1.9e-09  
&Mo-92     &1.012e-09
&Mo-94     &6.448e-10
&Mo-95     &1.122e-09
&Mo-96     &1.188e-09
&Mo-97     &6.875e-10
&Mo-98     &1.754e-09
&Mo-100    &7.146e-10
&Ru-96     &2.926e-10
&Ru-98     &1.007e-10
&Ru-99     &6.945e-10
&Ru-100    &6.928e-10
&Ru-101    &9.475e-10
&Ru-102    &1.77e-09 
&Ru-104    &1.065e-09
&Rh-103    &1.055e-09
&Pd-102    &4.241e-11
&Pd-104    &4.723e-10
&Pd-105    &9.558e-10
&Pd-106    &1.181e-09
&Pd-108    &1.165e-09
&Pd-110    &5.255e-10
&Ag-107    &7.84e-10 
&Ag-109    &7.42e-10 
&Cd-106    &6.346e-11
&Cd-108    &4.604e-11
&Cd-110    &6.58e-10 
&Cd-111    &6.805e-10
&Cd-112    &1.294e-09
&Cd-113    &6.614e-10
&Cd-114    &1.569e-09
&Cd-116    &4.161e-10
&In-113    &2.604e-11
&In-115    &5.915e-10
&Sn-112    &1.221e-10
&Sn-114    &8.435e-11
&Sn-115    &4.377e-11
&Sn-116    &1.893e-09
&Sn-117    &1.008e-09
&Sn-118    &3.209e-09
&Sn-119    &1.147e-09
&Sn-120    &4.391e-09
&Sn-122    &6.341e-10
&Sn-124    &8.06e-10 
&Sb-121    &6.318e-10
&Sb-123    &4.803e-10
&Te-120    &1.628e-11
&Te-122    &4.489e-10
&Te-123    &1.579e-10
&Te-124    &8.441e-10
&Te-125    &1.261e-09
&Te-126    &3.375e-09
&Te-128    &5.733e-09
&Te-130    &6.211e-09
&I-127     &1.459e-09
&Xe-124    &2.21e-11 
&Xe-126    &1.949e-11
&Xe-128    &3.943e-10
&Xe-129    &4.893e-09
&Xe-130    &7.865e-10
&Xe-131    &3.945e-09
&Xe-132    &4.806e-09
&Xe-134    &1.788e-09
&Xe-136    &1.478e-09
&Cs-133    &1.426e-09
&Ba-130    &1.814e-11
&Ba-132    &1.762e-11
&Ba-134    &4.272e-10
&Ba-135    &1.174e-09
&Ba-136    &1.409e-09
&Ba-137    &2.03e-09 
&Ba-138    &1.305e-08
&La-138    &1.604e-12
&La-139    &1.79e-09 
&Ce-136    &8.382e-12
&Ce-138    &1.148e-11
&Ce-140    &4.103e-09
&Ce-142    &5.229e-10
&Pr-141    &6.91e-10 
&Nd-142    &9.92e-10 
&Nd-143    &4.484e-10
&Nd-144    &8.826e-10
&Nd-145    &3.095e-10
&Nd-146    &6.448e-10
&Nd-148    &2.185e-10
&Nd-150    &2.168e-10
&Sm-144    &3.684e-11
&Sm-147    &1.834e-10
&Sm-148    &1.385e-10
&Sm-149    &1.714e-10
&Sm-150    &9.213e-11
&Sm-152    &3.383e-10
&Sm-154    &2.916e-10
&Eu-151    &2.036e-10
&Eu-153    &2.252e-10
&Gd-152    &2.947e-12
&Gd-154    &3.21e-11 
&Gd-155    &2.192e-10
&Gd-156    &3.051e-10
&Gd-157    &2.348e-10
&Gd-158    &3.75e-10 
&Gd-160    &3.343e-10
&Tb-159    &2.765e-10
&Dy-156    &1.004e-12
&Dy-158    &1.743e-12
&Dy-160    &4.301e-11
&Dy-161    &3.498e-10
&Dy-162    &4.748e-10
&Dy-163    &4.663e-10
&Dy-164    &5.312e-10
&Ho-165    &4.244e-10
&Er-162    &1.609e-12
&Er-164    &1.913e-11
&Er-166    &4.044e-10
&Er-167    &2.776e-10
&Er-168    &3.263e-10
&Er-170    &1.84e-10 
&Tm-169    &1.854e-10
&Yb-168    &1.583e-12
&Yb-170    &3.746e-11
&Yb-171    &1.77e-10 
&Yb-172    &2.722e-10
&Yb-173    &2.023e-10
&Yb-174    &4.015e-10
&Yb-176    &1.628e-10
&Lu-175    &1.828e-10
&Lu-176    &4.876e-12
&Hf-174    &1.231e-12
&Hf-176    &4.036e-11
&Hf-177    &1.438e-10
&Hf-178    &2.121e-10
&Hf-179    &1.065e-10
&Hf-180    &2.758e-10
&Ta-180    &2.429e-14
&Ta-181    &1.986e-10
&W-180     &8.395e-13
&W-182     &1.877e-10
&W-183     &1.02e-10 
&W-184     &2.195e-10
&W-186     &2.058e-10
&Re-185    &1.048e-10
&Re-187    &1.773e-10
&Os-184    &7.108e-13
&Os-186    &5.778e-11
&Os-187    &5.998e-11
&Os-188    &4.874e-10
&Os-189    &5.974e-10
&Os-190    &9.766e-10
&Os-192    &1.533e-09
&Ir-191    &1.357e-09
&Ir-193    &2.308e-09
&Pt-190    &1.008e-12
&Pt-192    &5.85e-11 
&Pt-194    &2.49e-09 
&Pt-195    &2.568e-09
&Pt-196    &1.926e-09
&Pt-198    &5.522e-10
&Au-197    &1.083e-09
&Hg-196    &3.009e-12
&Hg-198    &1.975e-10
&Hg-199    &3.36e-10 
&Hg-200    &4.622e-10
&Hg-201    &2.651e-10
&Hg-202    &6.036e-10
&Hg-204    &1.401e-10
&Tl-203    &3.221e-10
&Tl-205    &7.764e-10
&Pb-204    &2.931e-10
&Pb-206    &2.798e-09
&Pb-207    &3.09e-09 
&Pb-208    &8.85e-09 
&Bi-209    &8.718e-10
&Th-232    &3.514e-10
&U-235     &4.453e-13
&U-238     &6.219e-11
