&Isotopes  &Z=0.0    
&H-1       &0.738    
&H-2       &1.432e-05
&He-3      &4.248e-05
&He-4      &0.2559   
&Li-6      &3.215e-13
&Li-7      &4.567e-12
&Be-9      &6.21e-12 
&B-10      &3.854e-11
&B-11      &1.715e-10
&C-12      &0.0007502
&C-13      &2.496e-06
&N-14      &6.359e-05
&N-15      &2.505e-07
&O-16      &0.004445 
&O-17      &2.29e-07 
&O-18      &1.304e-06
&F-19      &3.37e-08 
&Ne-20     &0.0003452
&Ne-21     &2.748e-07
&Ne-22     &8.829e-06
&Na-23     &2.402e-06
&Mg-24     &9.07e-05 
&Mg-25     &4.644e-06
&Mg-26     &5.314e-06
&Al-27     &3.892e-06
&Si-28     &9.075e-05
&Si-29     &2.354e-06
&Si-30     &1.605e-06
&P-31      &4.268e-07
&S-32      &6.558e-05
&S-33      &1.961e-07
&S-34      &1.135e-06
&S-36      &4.848e-09
&Cl-35     &4.096e-07
&Cl-37     &1.385e-07
&Ar-36     &9.828e-06
&Ar-38     &9.453e-07
&Ar-40     &1.592e-09
&K-39      &2.342e-07
&K-40      &3.006e-11
&K-41      &1.777e-08
&Ca-40     &7.234e-06
&Ca-42     &3.041e-08
&Ca-43     &6.496e-09
&Ca-44     &1.027e-07
&Ca-46     &2.059e-10
&Ca-48     &1.004e-08
&Sc-45     &3.251e-09
&Ti-46     &1.941e-08
&Ti-47     &1.788e-08
&Ti-48     &3.226e-07
&Ti-49     &1.356e-08
&Ti-50     &1.326e-08
&V-50      &6.098e-11
&V-51      &2.485e-08
&Cr-50     &4.964e-08
&Cr-52     &9.954e-07
&Cr-53     &1.15e-07 
&Cr-54     &2.917e-08
&Mn-55     &6.595e-07
&Fe-54     &4.875e-06
&Fe-56     &7.937e-05
&Fe-57     &1.866e-06
&Fe-58     &2.526e-07
&Co-59     &2.397e-07
&Ni-58     &3.43e-06 
&Ni-60     &1.367e-06
&Ni-61     &6.04e-08 
&Ni-62     &1.957e-07
&Ni-64     &5.146e-08
&Cu-63     &3.964e-08
&Cu-65     &1.822e-08
&Zn-64     &6.791e-08
&Zn-66     &4.018e-08
&Zn-67     &5.994e-09
&Zn-68     &2.782e-08
&Zn-70     &9.469e-10
&Ga-69     &2.733e-09
&Ga-71     &1.866e-09
&Ge-70     &3.097e-09
&Ge-72     &4.15e-09 
&Ge-73     &1.174e-09
&Ge-74     &5.542e-09
&Ge-76     &1.179e-09
&As-75     &8.588e-10
&Se-74     &7.194e-11
&Se-76     &7.784e-10
&Se-77     &6.429e-10
&Se-78     &2.028e-09
&Se-80     &4.34e-09 
&Se-82     &7.829e-10
&Br-79     &8.343e-10
&Br-81     &8.323e-10
&Kr-78     &2.342e-11
&Kr-80     &1.546e-10
&Kr-82     &7.924e-10
&Kr-83     &7.952e-10
&Kr-84     &3.965e-09
&Kr-86     &1.228e-09
&Rb-85     &7.701e-10
&Rb-87     &3.04e-10 
&Sr-84     &1.939e-11
&Sr-86     &3.51e-10 
&Sr-87     &2.668e-10
&Sr-88     &3.009e-09
&Y-89      &7.383e-10
&Zr-90     &9.214e-10
&Zr-91     &2.032e-10
&Zr-92     &3.139e-10
&Zr-94     &3.251e-10
&Zr-96     &5.347e-11
&Nb-93     &1.141e-10
&Mo-92     &6.08e-11 
&Mo-94     &3.872e-11
&Mo-95     &6.737e-11
&Mo-96     &7.131e-11
&Mo-97     &4.129e-11
&Mo-98     &1.054e-10
&Mo-100    &4.291e-11
&Ru-96     &1.757e-11
&Ru-98     &6.048e-12
&Ru-99     &4.171e-11
&Ru-100    &4.16e-11 
&Ru-101    &5.69e-11 
&Ru-102    &1.063e-10
&Ru-104    &6.395e-11
&Rh-103    &6.334e-11
&Pd-102    &2.547e-12
&Pd-104    &2.836e-11
&Pd-105    &5.74e-11 
&Pd-106    &7.092e-11
&Pd-108    &6.996e-11
&Pd-110    &3.156e-11
&Ag-107    &4.708e-11
&Ag-109    &4.456e-11
&Cd-106    &3.811e-12
&Cd-108    &2.765e-12
&Cd-110    &3.952e-11
&Cd-111    &4.087e-11
&Cd-112    &7.773e-11
&Cd-113    &3.972e-11
&Cd-114    &9.42e-11 
&Cd-116    &2.499e-11
&In-113    &1.564e-12
&In-115    &3.552e-11
&Sn-112    &7.333e-12
&Sn-114    &5.065e-12
&Sn-115    &2.629e-12
&Sn-116    &1.137e-10
&Sn-117    &6.055e-11
&Sn-118    &1.927e-10
&Sn-119    &6.888e-11
&Sn-120    &2.637e-10
&Sn-122    &3.808e-11
&Sn-124    &4.84e-11 
&Sb-121    &3.794e-11
&Sb-123    &2.884e-11
&Te-120    &9.779e-13
&Te-122    &2.696e-11
&Te-123    &9.48e-12 
&Te-124    &5.069e-11
&Te-125    &7.575e-11
&Te-126    &2.027e-10
&Te-128    &3.443e-10
&Te-130    &3.73e-10 
&I-127     &8.763e-11
&Xe-124    &1.327e-12
&Xe-126    &1.171e-12
&Xe-128    &2.368e-11
&Xe-129    &2.938e-10
&Xe-130    &4.723e-11
&Xe-131    &2.369e-10
&Xe-132    &2.886e-10
&Xe-134    &1.074e-10
&Xe-136    &8.878e-11
&Cs-133    &8.564e-11
&Ba-130    &1.09e-12 
&Ba-132    &1.058e-12
&Ba-134    &2.566e-11
&Ba-135    &7.05e-11 
&Ba-136    &8.461e-11
&Ba-137    &1.219e-10
&Ba-138    &7.838e-10
&La-138    &9.633e-14
&La-139    &1.075e-10
&Ce-136    &5.034e-13
&Ce-138    &6.893e-13
&Ce-140    &2.464e-10
&Ce-142    &3.14e-11 
&Pr-141    &4.15e-11 
&Nd-142    &5.957e-11
&Nd-143    &2.693e-11
&Nd-144    &5.3e-11  
