&Isotopes  &Z=0.0    
&H-1       &0.729    
&H-2       &1.414e-05
&He-3      &4.331e-05
&He-4      &0.2609   
&Li-6      &2.677e-12
&Li-7      &3.803e-11
&Be-9      &5.17e-11 
&B-10      &3.209e-10
&B-11      &1.428e-09
&C-12      &0.001712 
&C-13      &2.078e-05
&N-14      &0.0005294
&N-15      &2.085e-06
&O-16      &0.004812 
&O-17      &1.907e-06
&O-18      &1.086e-05
&F-19      &2.805e-07
&Ne-20     &0.0009089
&Ne-21     &2.288e-06
&Ne-22     &7.351e-05
&Na-23     &2e-05    
&Mg-24     &0.0002931
&Mg-25     &3.867e-05
&Mg-26     &4.424e-05
&Al-27     &3.241e-05
&Si-28     &0.0003726
&Si-29     &1.96e-05 
&Si-30     &1.336e-05
&P-31      &3.553e-06
&S-32      &0.0002005
&S-33      &1.632e-06
&S-34      &9.452e-06
&S-36      &4.036e-08
&Cl-35     &3.411e-06
&Cl-37     &1.153e-06
&Ar-36     &4.101e-05
&Ar-38     &7.871e-06
&Ar-40     &1.325e-08
&K-39      &1.95e-06 
&K-40      &2.503e-10
&K-41      &1.479e-07
&Ca-40     &3.613e-05
&Ca-42     &2.532e-07
&Ca-43     &5.408e-08
&Ca-44     &8.551e-07
&Ca-46     &1.714e-09
&Ca-48     &8.362e-08
&Sc-45     &2.707e-08
&Ti-46     &1.616e-07
&Ti-47     &1.488e-07
&Ti-48     &1.507e-06
&Ti-49     &1.129e-07
&Ti-50     &1.104e-07
&V-50      &5.077e-10
&V-51      &2.069e-07
&Cr-50     &4.133e-07
&Cr-52     &8.288e-06
&Cr-53     &9.578e-07
&Cr-54     &2.429e-07
&Mn-55     &5.491e-06
&Fe-54     &4.059e-05
&Fe-56     &0.0006608
&Fe-57     &1.553e-05
&Fe-58     &2.103e-06
&Co-59     &1.996e-06
&Ni-58     &2.855e-05
&Ni-60     &1.138e-05
&Ni-61     &5.029e-07
&Ni-62     &1.63e-06 
&Ni-64     &4.284e-07
&Cu-63     &3.3e-07  
&Cu-65     &1.517e-07
&Zn-64     &5.654e-07
&Zn-66     &3.345e-07
&Zn-67     &4.99e-08 
&Zn-68     &2.316e-07
&Zn-70     &7.884e-09
&Ga-69     &2.275e-08
&Ga-71     &1.554e-08
&Ge-70     &2.579e-08
&Ge-72     &3.455e-08
&Ge-73     &9.773e-09
&Ge-74     &4.614e-08
&Ge-76     &9.815e-09
&As-75     &7.15e-09 
&Se-74     &5.989e-10
&Se-76     &6.481e-09
&Se-77     &5.352e-09
&Se-78     &1.688e-08
&Se-80     &3.613e-08
&Se-82     &6.518e-09
&Br-79     &6.947e-09
&Br-81     &6.93e-09 
&Kr-78     &1.95e-10 
&Kr-80     &1.287e-09
&Kr-82     &6.598e-09
&Kr-83     &6.621e-09
