&Isotopes  &Z=0.0    
&H-1       &0.7335   
&H-2       &1.423e-05
&He-3      &4.29e-05 
&He-4      &0.2584   
&Li-6      &2.141e-12
&Li-7      &3.042e-11
&Be-9      &4.136e-11
&B-10      &2.567e-10
&B-11      &1.142e-09
&C-12      &0.00137  
&C-13      &1.662e-05
&N-14      &0.0004235
&N-15      &1.668e-06
&O-16      &0.00385  
&O-17      &1.525e-06
&O-18      &8.684e-06
&F-19      &2.244e-07
&Ne-20     &0.0007271
&Ne-21     &1.83e-06 
&Ne-22     &5.881e-05
&Na-23     &1.6e-05  
&Mg-24     &0.0002345
&Mg-25     &3.093e-05
&Mg-26     &3.539e-05
&Al-27     &2.592e-05
&Si-28     &0.0002981
&Si-29     &1.568e-05
&Si-30     &1.069e-05
&P-31      &2.843e-06
&S-32      &0.0001604
&S-33      &1.306e-06
&S-34      &7.562e-06
&S-36      &3.229e-08
&Cl-35     &2.728e-06
&Cl-37     &9.223e-07
&Ar-36     &3.281e-05
&Ar-38     &6.297e-06
&Ar-40     &1.06e-08 
&K-39      &1.56e-06 
&K-40      &2.002e-10
&K-41      &1.183e-07
&Ca-40     &2.89e-05 
&Ca-42     &2.025e-07
&Ca-43     &4.327e-08
&Ca-44     &6.841e-07
&Ca-46     &1.371e-09
&Ca-48     &6.69e-08 
&Sc-45     &2.165e-08
&Ti-46     &1.293e-07
&Ti-47     &1.191e-07
&Ti-48     &1.206e-06
&Ti-49     &9.029e-08
&Ti-50     &8.832e-08
&V-50      &4.062e-10
&V-51      &1.655e-07
&Cr-50     &3.306e-07
&Cr-52     &6.63e-06 
&Cr-53     &7.662e-07
&Cr-54     &1.943e-07
&Mn-55     &4.392e-06
&Fe-54     &3.247e-05
&Fe-56     &0.0005286
&Fe-57     &1.243e-05
&Fe-58     &1.683e-06
&Co-59     &1.597e-06
&Ni-58     &2.284e-05
&Ni-60     &9.103e-06
&Ni-61     &4.023e-07
&Ni-62     &1.304e-06
&Ni-64     &3.427e-07
&Cu-63     &2.64e-07 
&Cu-65     &1.214e-07
&Zn-64     &4.523e-07
&Zn-66     &2.676e-07
&Zn-67     &3.992e-08
&Zn-68     &1.853e-07
&Zn-70     &6.307e-09
&Ga-69     &1.82e-08 
&Ga-71     &1.243e-08
&Ge-70     &2.063e-08
&Ge-72     &2.764e-08
&Ge-73     &7.818e-09
&Ge-74     &3.691e-08
&Ge-76     &7.852e-09
&As-75     &5.72e-09 
&Se-74     &4.792e-10
&Se-76     &5.185e-09
&Se-77     &4.282e-09
&Se-78     &1.351e-08
&Se-80     &2.891e-08
&Se-82     &5.215e-09
&Br-79     &5.557e-09
&Br-81     &5.544e-09
&Kr-78     &1.56e-10 
&Kr-80     &1.03e-09 
&Kr-82     &5.278e-09
&Kr-83     &5.297e-09
&Kr-84     &2.641e-08
&Kr-86     &8.178e-09
&Rb-85     &5.13e-09 
&Rb-87     &2.025e-09
&Sr-84     &1.291e-10
&Sr-86     &2.338e-09
&Sr-87     &1.777e-09
&Sr-88     &2.004e-08
&Y-89      &4.917e-09
&Zr-90     &6.137e-09
&Zr-91     &1.354e-09
&Zr-92     &2.091e-09
&Zr-94     &2.165e-09
&Zr-96     &3.561e-10
&Nb-93     &7.6e-10  
&Mo-92     &4.05e-10 
&Mo-94     &2.579e-10
&Mo-95     &4.488e-10
&Mo-96     &4.75e-10 
&Mo-97     &2.75e-10 
&Mo-98     &7.017e-10
&Mo-100    &2.858e-10
&Ru-96     &1.17e-10 
&Ru-98     &4.028e-11
&Ru-99     &2.778e-10
&Ru-100    &2.771e-10
&Ru-101    &3.79e-10 
&Ru-102    &7.079e-10
&Ru-104    &4.26e-10 
&Rh-103    &4.219e-10
&Pd-102    &1.696e-11
&Pd-104    &1.889e-10
&Pd-105    &3.823e-10
&Pd-106    &4.724e-10
&Pd-108    &4.66e-10 
&Pd-110    &2.102e-10
&Ag-107    &3.136e-10
&Ag-109    &2.968e-10
&Cd-106    &2.538e-11
&Cd-108    &1.841e-11
&Cd-110    &2.632e-10
&Cd-111    &2.722e-10
&Cd-112    &5.177e-10
&Cd-113    &2.645e-10
&Cd-114    &6.275e-10
&Cd-116    &1.664e-10
&In-113    &1.042e-11
&In-115    &2.366e-10
&Sn-112    &4.884e-11
&Sn-114    &3.374e-11
&Sn-115    &1.751e-11
&Sn-116    &7.573e-10
&Sn-117    &4.033e-10
&Sn-118    &1.284e-09
&Sn-119    &4.588e-10
&Sn-120    &1.757e-09
&Sn-122    &2.536e-10
&Sn-124    &3.224e-10
&Sb-121    &2.527e-10
&Sb-123    &1.921e-10
&Te-120    &6.513e-12
&Te-122    &1.795e-10
&Te-123    &6.314e-11
&Te-124    &3.376e-10
&Te-125    &5.045e-10
&Te-126    &1.35e-09 
&Te-128    &2.293e-09
&Te-130    &2.484e-09
&I-127     &5.836e-10
&Xe-124    &8.838e-12
&Xe-126    &7.797e-12
&Xe-128    &1.577e-10
&Xe-129    &1.957e-09
&Xe-130    &3.146e-10
&Xe-131    &1.578e-09
&Xe-132    &1.922e-09
&Xe-134    &7.152e-10
&Xe-136    &5.914e-10
&Cs-133    &5.704e-10
&Ba-130    &7.257e-12
&Ba-132    &7.049e-12
&Ba-134    &1.709e-10
&Ba-135    &4.696e-10
&Ba-136    &5.635e-10
&Ba-137    &8.119e-10
&Ba-138    &5.221e-09
&La-138    &6.416e-13
&La-139    &7.161e-10
&Ce-136    &3.353e-12
&Ce-138    &4.591e-12
&Ce-140    &1.641e-09
&Ce-142    &2.092e-10
&Pr-141    &2.764e-10
&Nd-142    &3.968e-10
&Nd-143    &1.793e-10
&Nd-144    &3.53e-10 
&Nd-145    &1.238e-10
&Nd-146    &2.579e-10
&Nd-148    &8.74e-11 
&Nd-150    &8.673e-11
&Sm-144    &1.473e-11
&Sm-147    &7.338e-11
&Sm-148    &5.539e-11
&Sm-149    &6.855e-11
&Sm-150    &3.685e-11
&Sm-152    &1.353e-10
&Sm-154    &1.166e-10
&Eu-151    &8.144e-11
&Eu-153    &9.008e-11
&Gd-152    &1.179e-12
&Gd-154    &1.284e-11
&Gd-155    &8.769e-11
&Gd-156    &1.22e-10 
&Gd-157    &9.393e-11
&Gd-158    &1.5e-10  
&Gd-160    &1.337e-10
&Tb-159    &1.106e-10
&Dy-156    &4.015e-13
&Dy-158    &6.971e-13
&Dy-160    &1.721e-11
&Dy-161    &1.399e-10
&Dy-162    &1.899e-10
&Dy-163    &1.865e-10
&Dy-164    &2.125e-10
&Ho-165    &1.698e-10
&Er-162    &6.435e-13
&Er-164    &7.651e-12
&Er-166    &1.618e-10
&Er-167    &1.11e-10 
&Er-168    &1.305e-10
&Er-170    &7.36e-11 
&Tm-169    &7.417e-11
&Yb-168    &6.333e-13
&Yb-170    &1.499e-11
&Yb-171    &7.081e-11
&Yb-172    &1.089e-10
&Yb-173    &8.091e-11
&Yb-174    &1.606e-10
&Yb-176    &6.512e-11
&Lu-175    &7.312e-11
&Lu-176    &1.951e-12
&Hf-174    &4.925e-13
&Hf-176    &1.614e-11
&Hf-177    &5.751e-11
&Hf-178    &8.485e-11
&Hf-179    &4.26e-11 
&Hf-180    &1.103e-10
&Ta-180    &9.717e-15
&Ta-181    &7.943e-11
&W-180     &3.358e-13
&W-182     &7.51e-11 
&W-183     &4.079e-11
&W-184     &8.78e-11 
&W-186     &8.233e-11
&Re-185    &4.191e-11
&Re-187    &7.092e-11
&Os-184    &2.843e-13
&Os-186    &2.311e-11
&Os-187    &2.399e-11
&Os-188    &1.949e-10
&Os-189    &2.389e-10
&Os-190    &3.906e-10
&Os-192    &6.131e-10
&Ir-191    &5.429e-10
&Ir-193    &9.233e-10
&Pt-190    &4.034e-13
&Pt-192    &2.34e-11 
&Pt-194    &9.959e-10
&Pt-195    &1.027e-09
&Pt-196    &7.704e-10
&Pt-198    &2.209e-10
&Au-197    &4.333e-10
&Hg-196    &1.204e-12
&Hg-198    &7.9e-11  
&Hg-199    &1.344e-10
&Hg-200    &1.849e-10
&Hg-201    &1.06e-10 
&Hg-202    &2.415e-10
&Hg-204    &5.605e-11
&Tl-203    &1.288e-10
&Tl-205    &3.106e-10
&Pb-204    &1.172e-10
&Pb-206    &1.119e-09
&Pb-207    &1.236e-09
&Pb-208    &3.54e-09 
&Bi-209    &3.487e-10
&Th-232    &1.406e-10
&U-235     &1.781e-13
&U-238     &2.487e-11
