&Isotopes  &Z=0.0    
&Dy-160    &4.305e-13
&Dy-161    &3.501e-12
&Dy-162    &4.752e-12
&Dy-163    &4.667e-12
&Dy-164    &5.316e-12
&Ho-165    &4.248e-12
&Er-162    &1.61e-14 
&Er-164    &1.915e-13
&Er-166    &4.048e-12
&Er-167    &2.778e-12
&Er-168    &3.266e-12
&Er-170    &1.842e-12
&Tm-169    &1.856e-12
&Yb-168    &1.585e-14
&Yb-170    &3.75e-13 
&Yb-171    &1.772e-12
&Yb-172    &2.724e-12
&Yb-173    &2.025e-12
&Yb-174    &4.018e-12
&Yb-176    &1.629e-12
&Lu-175    &1.83e-12 
&Lu-176    &4.881e-14
&Hf-174    &1.232e-14
&Hf-176    &4.04e-13 
&Hf-177    &1.439e-12
&Hf-178    &2.123e-12
&Hf-179    &1.066e-12
&Hf-180    &2.761e-12
&Ta-180    &2.431e-16
&Ta-181    &1.987e-12
&W-180     &8.402e-15
&W-182     &1.879e-12
&W-183     &1.021e-12
&W-184     &2.197e-12
&W-186     &2.06e-12 
&Re-185    &1.049e-12
&Re-187    &1.775e-12
&Os-184    &7.115e-15
&Os-186    &5.783e-13
&Os-187    &6.004e-13
&Os-188    &4.878e-12
&Os-189    &5.979e-12
&Os-190    &9.775e-12
&Os-192    &1.534e-11
&Ir-191    &1.359e-11
&Ir-193    &2.31e-11 
&Pt-190    &1.009e-14
&Pt-192    &5.855e-13
&Pt-194    &2.492e-11
&Pt-195    &2.571e-11
&Pt-196    &1.928e-11
&Pt-198    &5.527e-12
&Au-197    &1.084e-11
&Hg-196    &3.012e-14
&Hg-198    &1.977e-12
&Hg-199    &3.363e-12
&Hg-200    &4.626e-12
&Hg-201    &2.653e-12
&Hg-202    &6.042e-12
&Hg-204    &1.403e-12
&Tl-203    &3.224e-12
&Tl-205    &7.771e-12
&Pb-204    &2.934e-12
&Pb-206    &2.8e-11  
&Pb-207    &3.092e-11
&Pb-208    &8.858e-11
&Bi-209    &8.726e-12
&Th-232    &3.517e-12
&U-235     &4.457e-15
&U-238     &6.224e-13
