H Yields from Keegans 2023
H Compiled by Thomas Trueman (November 2023) 
&Isotopes  &Z=0.1     &Z=0.05    &Z=0.02    &Z=0.014   &Z=0.01    &Z=0.005   &Z=0.002   &Z=0.001   &Z=0.0001  &Z=1e-05   &Z=1e-06   &Z=1e-07   &Z=1e-30  
&H-1       &2.83e-13  &1.1e-12   &3.95e-12  &5.82e-12  &8.29e-12  &1.98e-10  &3.37e-09  &6.93e-09  &1.2e-08   &1.32e-08  &1.31e-08  &1.31e-08  &1.28e-08 
&H-2       &9.97e-27  &2.67e-27  &1.55e-26  &2.89e-26  &5.12e-26  &1.7e-24   &6.84e-23  &1.5e-22   &2.38e-22  &2.5e-22   &2.51e-22  &2.48e-22  &2.5e-22  
&He-3      &1.29e-16  &3.35e-17  &6.07e-18  &3.5e-18   &2.22e-18  &1.28e-18  &1.5e-18   &1.97e-18  &3.58e-18  &4.72e-18  &4.95e-18  &4.97e-18  &4.98e-18 
&He-4      &0.0053    &0.0068    &0.0081    &0.0083    &0.0085    &0.0088    &0.0089    &0.0089    &0.0089    &0.0089    &0.0089    &0.0089    &0.0089   
&Li-6      &1.09e-18  &1.02e-18  &9.81e-19  &9.74e-19  &9.69e-19  &9.64e-19  &9.61e-19  &9.6e-19   &9.59e-19  &9.59e-19  &9.59e-19  &9.6e-19   &9.59e-19 
&Li-7      &4.38e-20  &1e-19     &2.49e-19  &3.36e-19  &4.37e-19  &7.79e-19  &2.29e-18  &3.46e-18  &4.78e-18  &4.91e-18  &4.91e-18  &4.95e-18  &4.96e-18 
&Be-9      &7.78e-35  &4.51e-35  &1.53e-35  &1.62e-35  &1.29e-35  &6.26e-36  &1.9e-36   &5.37e-36  &6.32e-37  &5.28e-37  &6.57e-37  &6.6e-37   &6.57e-37 
&B-10      &1.32e-22  &7.96e-24  &2.74e-25  &7.76e-26  &2.41e-26  &2.29e-27  &1.14e-28  &1.34e-29  &9.81e-32  &7.55e-32  &7.5e-32   &7.5e-32   &7.5e-32  
&B-11      &1.11e-11  &4.55e-12  &1.25e-12  &7.22e-13  &4.16e-13  &1.16e-13  &1.65e-14  &7.75e-15  &3.81e-12  &5.59e-12  &5.74e-12  &5.75e-12  &5.76e-12 
&C-12      &0.0014    &0.0015    &0.0015    &0.0015    &0.0015    &0.0016    &0.0016    &0.0016    &0.0016    &0.0016    &0.0016    &0.0016    &0.0016   
&C-13      &1.6e-07   &6.18e-08  &1.95e-08  &1.29e-08  &8.79e-09  &4.03e-09  &1.69e-09  &1.13e-09  &8.59e-10  &8.77e-10  &8.84e-10  &8.83e-10  &8.86e-10 
&N-14      &5.65e-06  &3.88e-06  &2.07e-06  &1.57e-06  &1.19e-06  &6.61e-07  &2.81e-07  &1.39e-07  &2.85e-08  &2.51e-08  &2.53e-08  &2.53e-08  &2.53e-08 
&N-15      &2.6e-08   &7.25e-09  &3.73e-09  &3.65e-09  &4e-09     &6.49e-09  &2.04e-08  &5.37e-08  &7.18e-07  &1.04e-06  &1.07e-06  &1.07e-06  &1.07e-06 
&O-16      &0.0568    &0.0595    &0.0587    &0.0579    &0.0572    &0.0559    &0.0548    &0.0543    &0.0538    &0.0537    &0.0537    &0.0537    &0.0537   
&O-17      &4.85e-07  &4.89e-07  &3.82e-07  &3.22e-07  &2.66e-07  &1.62e-07  &6.52e-08  &2.65e-08  &1.28e-09  &6.32e-10  &5.84e-10  &5.79e-10  &5.78e-10 
&O-18      &4.14e-08  &1.15e-08  &4.21e-09  &3e-09     &2.19e-09  &1.12e-09  &4.15e-10  &1.67e-10  &1.01e-11  &6.08e-12  &5.78e-12  &5.75e-12  &5.74e-12 
&F-19      &2.24e-09  &1.34e-09  &5.01e-10  &3.4e-10   &2.42e-10  &1.43e-10  &1.32e-10  &1.92e-10  &6.37e-10  &8.67e-10  &9.07e-10  &9.11e-10  &9.12e-10 
&Ne-20     &0.001     &0.0012    &0.0014    &0.0014    &0.0015    &0.0015    &0.0015    &0.0015    &0.0016    &0.0016    &0.0016    &0.0016    &0.0016   
&Ne-21     &2.59e-05  &9.09e-06  &2.74e-06  &1.78e-06  &1.2e-06   &5.39e-07  &1.69e-07  &6.64e-08  &1.31e-08  &1.13e-08  &1.11e-08  &1.11e-08  &1.11e-08 
&Ne-22     &0.0001    &5.7e-05   &1.52e-05  &9.29e-06  &5.91e-06  &2.41e-06  &7.98e-07  &3.7e-07   &4.87e-08  &2.29e-08  &2.07e-08  &2.05e-08  &2.04e-08 
&Na-23     &0.0001    &3.6e-05   &1.39e-05  &1.07e-05  &8.76e-06  &6.75e-06  &6.03e-06  &5.96e-06  &6.5e-06   &6.63e-06  &6.64e-06  &6.64e-06  &6.64e-06 
&Mg-24     &0.0035    &0.0036    &0.0064    &0.0079    &0.0092    &0.0115    &0.0135    &0.0144    &0.0149    &0.0148    &0.0148    &0.0148    &0.0148   
&Mg-25     &0.0006    &0.0001    &5.16e-05  &3.28e-05  &2.19e-05  &1.03e-05  &4.56e-06  &2.82e-06  &2.52e-07  &2.12e-07  &2.09e-07  &2.09e-07  &2.09e-07 
&Mg-26     &0.0005    &9.61e-05  &3.16e-05  &2.21e-05  &1.6e-05   &8.55e-06  &3.99e-06  &2.44e-06  &1.01e-06  &8.91e-07  &8.81e-07  &8.8e-07   &8.8e-07  
&Al-27     &0.0009    &0.0006    &0.0005    &0.0004    &0.0004    &0.0002    &0.0001    &8.91e-05  &3.89e-05  &3.95e-05  &3.95e-05  &3.95e-05  &3.95e-05 
&Si-28     &0.156     &0.164     &0.168     &0.169     &0.169     &0.169     &0.169     &0.168     &0.165     &0.165     &0.165     &0.165     &0.165    
&Si-29     &0.0049    &0.0013    &0.0004    &0.0003    &0.0002    &0.0001    &0.0001    &0.0001    &2.99e-05  &2.88e-05  &2.89e-05  &2.9e-05   &2.9e-05  
&Si-30     &0.0067    &0.0031    &0.0011    &0.0007    &0.0005    &0.0002    &5.05e-05  &1.55e-05  &1.13e-05  &1.67e-05  &1.75e-05  &1.76e-05  &1.76e-05 
&P-31      &0.0005    &0.0004    &0.0002    &0.0001    &0.0001    &7.95e-05  &3.87e-05  &2.53e-05  &3.31e-05  &4.31e-05  &4.42e-05  &4.43e-05  &4.43e-05 
&S-32      &0.0645    &0.081     &0.0896    &0.0908    &0.0915    &0.0922    &0.0927    &0.093     &0.0939    &0.0941    &0.0941    &0.0941    &0.0941   
&S-33      &0.0001    &0.0001    &0.0001    &0.0001    &8.8e-05   &5.97e-05  &3.94e-05  &3.57e-05  &3.56e-05  &3.37e-05  &3.35e-05  &3.35e-05  &3.34e-05 
&S-34      &0.0043    &0.0025    &0.0009    &0.0006    &0.0004    &0.0001    &5.51e-05  &1.79e-05  &1.58e-06  &2.74e-06  &2.9e-06   &2.92e-06  &2.92e-06 
&S-36      &1.07e-05  &1.16e-06  &7.48e-08  &3.21e-08  &1.52e-08  &3.2e-09   &3.36e-10  &4.61e-11  &2.55e-12  &2.55e-12  &2.54e-12  &2.54e-12  &2.54e-12 
&Cl-35     &8.1e-05   &7.83e-05  &4.5e-05   &3.27e-05  &2.4e-05   &1.3e-05   &6.27e-06  &4.58e-06  &5.39e-06  &6.98e-06  &7.18e-06  &7.2e-06   &7.2e-06  
&Cl-37     &2.1e-05   &1.56e-05  &8.58e-06  &6.94e-06  &5.7e-06   &3.87e-06  &2.58e-06  &2.15e-06  &1.93e-06  &1.87e-06  &1.87e-06  &1.86e-06  &1.86e-06 
&Ar-36     &0.0123    &0.0159    &0.0186    &0.0192    &0.0195    &0.02      &0.0203    &0.0206    &0.021     &0.0211    &0.0211    &0.0211    &0.0211   
&Ar-38     &0.0018    &0.001     &0.0003    &0.0002    &0.0001    &6.19e-05  &1.99e-05  &9.74e-06  &4.36e-06  &4.56e-06  &4.57e-06  &4.61e-06  &4.62e-06 
&Ar-40     &7.42e-08  &1.52e-08  &7.36e-10  &2.46e-10  &9.81e-11  &1.86e-11  &2.72e-12  &1e-12     &6.73e-13  &6.73e-13  &6.72e-13  &6.72e-13  &6.72e-13 
&K-39      &5.43e-05  &4.79e-05  &2.69e-05  &2.15e-05  &1.72e-05  &1.06e-05  &4.67e-06  &3.86e-06  &3.56e-06  &3.76e-06  &3.78e-06  &3.79e-06  &3.8e-06  
&K-40      &1.43e-08  &3.05e-08  &1.21e-08  &6.16e-09  &3.21e-09  &9.51e-10  &2.61e-10  &1.07e-10  &1.26e-12  &9.8e-13   &9.67e-13  &9.65e-13  &9.65e-13 
&K-41      &2.98e-06  &2.82e-06  &1.7e-06   &1.37e-06  &1.11e-06  &7.12e-07  &4.28e-07  &3.14e-07  &1.54e-07  &1.12e-07  &1.08e-07  &1.07e-07  &1.07e-07 
&Ca-40     &0.0129    &0.0166    &0.0195    &0.0201    &0.0206    &0.0212    &0.0218    &0.022     &0.0225    &0.0226    &0.0226    &0.0226    &0.0226   
&Ca-42     &3.43e-05  &2.33e-05  &8.73e-06  &5.66e-06  &3.71e-06  &1.45e-06  &3.7e-07   &1.35e-07  &1.46e-08  &1.55e-08  &1.56e-08  &1.56e-08  &1.56e-08 
&Ca-43     &6.59e-07  &1.05e-06  &1.36e-06  &1.39e-06  &1.35e-06  &9.72e-07  &2.29e-07  &2.14e-07  &2.64e-07  &2.79e-07  &2.8e-07   &2.82e-07  &2.83e-07 
&Ca-44     &1.91e-05  &2.84e-05  &3.64e-05  &3.84e-05  &3.97e-05  &4.14e-05  &4.16e-05  &4.03e-05  &3.86e-05  &3.84e-05  &3.85e-05  &3.83e-05  &3.85e-05 
&Ca-46     &4.94e-10  &1.28e-10  &3.74e-11  &3.41e-11  &3.32e-11  &3.26e-11  &3.24e-11  &3.23e-11  &3.22e-11  &3.22e-11  &3.22e-11  &3.22e-11  &3.22e-11 
&Ca-48     &6.41e-12  &1.46e-12  &1.29e-12  &1.26e-12  &1.25e-12  &1.23e-12  &1.22e-12  &1.22e-12  &1.21e-12  &1.21e-12  &1.21e-12  &1.21e-12  &1.21e-12 
&Sc-45     &2.1e-07   &1.92e-07  &1.34e-07  &1.12e-07  &9.47e-08  &6.9e-08   &5.32e-08  &4.68e-08  &1.97e-08  &1.39e-08  &1.39e-08  &1.32e-08  &1.33e-08 
&Ti-46     &2.21e-05  &1.31e-05  &4.62e-06  &3e-06     &1.97e-06  &7.91e-07  &5.82e-07  &1.2e-06   &2.14e-06  &2.25e-06  &2.26e-06  &2.27e-06  &2.27e-06 
&Ti-47     &1.65e-06  &1.65e-06  &1.52e-06  &1.4e-06   &1.24e-06  &8.23e-07  &6.89e-07  &1.52e-06  &2.8e-06   &2.95e-06  &2.96e-06  &2.98e-06  &2.98e-06 
&Ti-48     &0.0003    &0.0004    &0.0005    &0.0005    &0.0006    &0.0006    &0.0006    &0.0006    &0.0006    &0.0006    &0.0006    &0.0006    &0.0006   
&Ti-49     &4.45e-05  &4.13e-05  &3.27e-05  &2.89e-05  &2.55e-05  &1.99e-05  &1.57e-05  &1.42e-05  &5.84e-06  &3.77e-06  &3.66e-06  &3.64e-06  &3.64e-06 
&Ti-50     &1.13e-05  &1.03e-05  &9.75e-06  &9.64e-06  &9.57e-06  &9.49e-06  &9.44e-06  &9.43e-06  &9.41e-06  &9.41e-06  &9.41e-06  &9.41e-06  &9.41e-06 
&V-50      &3.79e-08  &1.32e-08  &1e-08     &9.66e-09  &9.38e-09  &9.11e-09  &9.05e-09  &9.04e-09  &9.04e-09  &9.03e-09  &9.03e-09  &9.03e-09  &9.03e-09 
&V-51      &0.0002    &0.0001    &0.0001    &8.59e-05  &7.32e-05  &5.28e-05  &3.92e-05  &3.79e-05  &3.89e-05  &4.05e-05  &4.05e-05  &4.07e-05  &4.07e-05 
&Cr-50     &0.0012    &0.0006    &0.0002    &0.0001    &0.0001    &8.97e-05  &6.28e-05  &5.91e-05  &5.72e-05  &5.71e-05  &5.71e-05  &5.72e-05  &5.72e-05 
&Cr-52     &0.0101    &0.0112    &0.0129    &0.0134    &0.0138    &0.0144    &0.0147    &0.0149    &0.015     &0.015     &0.015     &0.0151    &0.015    
&Cr-53     &4.41e-05  &4.09e-05  &3.94e-05  &3.91e-05  &3.89e-05  &3.86e-05  &3.85e-05  &3.85e-05  &3.84e-05  &3.84e-05  &3.84e-05  &3.84e-05  &3.84e-05 
&Cr-54     &0.0001    &0.0001    &0.0001    &0.0001    &0.0001    &0.0001    &0.0001    &0.0001    &0.0001    &0.0001    &0.0001    &0.0001    &0.0001   
&Mn-55     &0.0166    &0.0119    &0.0082    &0.0073    &0.0065    &0.0054    &0.0044    &0.0039    &0.0034    &0.0034    &0.0034    &0.0034    &0.0034   
&Fe-54     &0.158     &0.0959    &0.0573    &0.0497    &0.0447    &0.0386    &0.0351    &0.034     &0.0332    &0.0332    &0.0332    &0.0332    &0.0332   
&Fe-56     &0.635     &0.747     &0.818     &0.832     &0.843     &0.855     &0.863     &0.866     &0.868     &0.868     &0.868     &0.868     &0.868    
&Fe-57     &0.032     &0.0265    &0.0203    &0.0187    &0.0174    &0.0157    &0.0138    &0.0126    &0.0115    &0.0114    &0.0114    &0.0114    &0.0114   
&Fe-58     &0.001     &0.001     &0.0009    &0.0009    &0.0009    &0.0009    &0.0009    &0.0009    &0.0009    &0.0009    &0.0009    &0.0009    &0.0009   
&Co-59     &0.0012    &0.0011    &0.0009    &0.0008    &0.0007    &0.0006    &0.0006    &0.0009    &0.0012    &0.0013    &0.0013    &0.0013    &0.0013   
&Ni-58     &0.154     &0.0902    &0.0518    &0.0441    &0.0391    &0.0329    &0.0307    &0.0306    &0.0304    &0.0304    &0.0304    &0.0304    &0.0304   
&Ni-60     &0.00418   &0.00397   &0.00388   &0.00387   &0.00386   &0.00385   &0.00384   &0.00384   &0.00384   &0.00384   &0.00384   &0.00384   &0.00384  
&Ni-61     &0.0003    &0.0003    &0.0003    &0.0003    &0.0003    &0.0002    &0.0002    &0.0002    &0.0001    &0.0001    &0.0001    &0.0001    &0.0001   
&Ni-62     &0.0092    &0.006     &0.0032    &0.0025    &0.002     &0.0014    &0.0009    &0.0008    &0.0008    &0.0008    &0.0008    &0.0008    &0.0008   
