H Yields: sn1a Gronow 2021 double detonation
H Prepared by: Thomas Trueman (January, 2022)
&Isotopes  &Z=0.042   &Z=0.014   &Z=0.0014  &Z=0.00014
&S-36      &1.66e-06  &1.03e-07  &2.15e-08  &2.14e-08 
&Cl-35     &1.75e-04  &1.10e-04  &8.17e-05  &8.29e-05 
&Cl-37     &3.50e-05  &2.47e-05  &2.08e-05  &2.11e-05 
&Ar-36     &1.51e-02  &1.85e-02  &1.96e-02  &1.96e-02 
&Ar-38     &2.00e-03  &7.55e-04  &4.18e-04  &4.30e-04 
&Ar-40     &1.51e-07  &1.74e-08  &3.16e-09  &2.51e-09 
&K-39      &1.40e-04  &9.93e-05  &7.53e-05  &7.56e-05 
&K-41      &1.13e-05  &9.62e-06  &8.80e-06  &8.85e-06 
&Ca-40     &1.65e-02  &1.96e-02  &2.09e-02  &2.09e-02 
&Ca-42     &5.18e-05  &2.24e-05  &1.29e-05  &1.33e-05 
&Ca-43     &6.66e-06  &5.81e-06  &5.56e-06  &5.55e-06 
&Ca-44     &1.18e-03  &1.11e-03  &1.07e-03  &1.07e-03 
&Ca-46     &8.13e-08  &7.89e-09  &5.38e-10  &6.25e-11 
&Ca-48     &7.95e-09  &9.78e-10  &9.05e-11  &9.27e-12 
&Sc-45     &4.09e-06  &3.50e-06  &3.12e-06  &3.11e-06 
&Ti-46     &1.95e-05  &9.86e-06  &6.10e-06  &6.21e-06 
&Ti-47     &4.85e-05  &4.09e-05  &3.48e-05  &3.45e-05 
&Ti-48     &1.84e-03  &2.03e-03  &2.11e-03  &2.11e-03 
&Ti-49     &4.51e-05  &3.82e-05  &3.20e-05  &3.21e-05 
&Ti-50     &1.91e-07  &1.52e-08  &8.57e-10  &1.98e-10 
&V-50      &5.54e-08  &1.22e-08  &1.71e-09  &1.27e-09 
&V-51      &1.70e-04  &1.34e-04  &1.12e-04  &1.12e-04 
&Cr-50     &5.45e-04  &2.07e-04  &1.10e-04  &1.12e-04 
&Cr-52     &7.38e-03  &8.79e-03  &9.49e-03  &9.47e-03 
&Cr-53     &1.08e-03  &7.71e-04  &6.18e-04  &6.22e-04 
&Cr-54     &6.49e-07  &1.02e-07  &1.49e-08  &1.28e-08 
&Mn-55     &6.95e-03  &4.23e-03  &3.06e-03  &3.09e-03 
&Fe-54     &5.44e-02  &2.23e-02  &1.22e-02  &1.24e-02 
&Fe-56     &5.33e-01  &5.91e-01  &6.11e-01  &6.10e-01 
&Fe-57     &1.87e-02  &1.33e-02  &1.10e-02  &1.11e-02 
&Fe-58     &3.65e-06  &1.67e-06  &5.65e-08  &9.33e-09 
&Co-59     &7.02e-04  &5.17e-04  &3.86e-04  &3.88e-04 
&Ni-58     &5.49e-02  &2.05e-02  &1.06e-02  &1.08e-02 
&Ni-60     &5.26e-03  &8.02e-03  &9.00e-03  &8.97e-03 
&Ni-61     &3.29e-04  &3.23e-04  &2.90e-04  &2.91e-04 
&Ni-62     &4.86e-03  &2.71e-03  &1.67e-03  &1.69e-03 
&Ni-64     &2.84e-06  &1.42e-06  &5.03e-08  &5.16e-09 
&Cu-63     &7.70e-06  &5.35e-06  &9.24e-07  &6.96e-07 
&Zn-64     &1.28e-05  &2.61e-05  &2.97e-05  &2.92e-05 
&Zn-66     &7.07e-05  &5.79e-05  &3.26e-05  &3.25e-05 
&Zn-67     &6.33e-07  &5.36e-07  &5.41e-08  &2.80e-08 
&Zn-68     &9.64e-07  &1.12e-06  &6.90e-08  &2.09e-08 
&Zn-70     &1.97e-08  &1.20e-08  &3.61e-10  &3.70e-11 
&Ga-69     &1.82e-07  &3.92e-07  &2.02e-08  &2.66e-09 
&Ga-71     &6.37e-08  &8.47e-08  &3.73e-09  &4.92e-10 
