H Yields from Leung 2020
H Compiled by Thomas Trueman (November 2023) 
&Isotopes  &Z=0.07    &Z=0.042   &Z=0.028   &Z=0.014   &Z=0.007   &Z=0.0014  &Z=1e-30  
&Mn-55     &6.30e-3   &3.6e-3    &1.87e-3   &1.32e-3   &1.3e-3    &5.59e-4   &3.9e-4   
&Fe-54     &4.79e-2   &2.48e-2   &1.66e-2   &8.69e-3   &4.37e-3   &8.14e-4   &1.10e-4  
&Fe-56     &4.67e-1   &5.32e-1   &5.65e-1   &6.0e-1    &6.20e-1   &6.38e-1   &6.43e-1  
&Fe-57     &2.62e-2   &2.32e-2   &2.2e-2    &1.60e-2   &1.32e-2   &1.6e-2    &9.74e-3  
&Fe-58     &3.1e-7    &1.23e-7   &5.25e-8   &1.36e-8   &5.14e-9   &1.86e-9   &1.70e-9  
&Co-59     &5.29e-4   &6.12e-4   &6.33e-4   &5.27e-4   &4.9e-4    &9.1e-5    &6.56e-5  
&Ni-58     &1.27e-1   &8.7e-2    &5.35e-2   &2.50e-2   &1.11e-2   &1.18e-3   &9.62e-4  
&Ni-61     &2.11e-4   &2.61e-4   &2.79e-4   &2.78e-4   &2.62e-4   &2.33e-4   &2.18e-4  
&Ni-62     &3.24e-3   &3.17e-3   &2.72e-3   &1.72e-3   &9.81e-4   &2.15e-4   &8.49e-5  
&Ni-64     &7.60e-14  &5.11e-14  &1.80e-11  &4.59e-14  &4.71e-14  &3.79e-14  &4.14e-14 
